ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
AAXJ,Asia ex-Jpn,3.0,10,bullish,-4.83,-2.06,-1.05,3.61,7.22,-0.37,0.02,-0.78,-1.1,,,85.0,,,85.0,,,85.0
ACWI,ACWI,3.3,10,bullish,-2.23,-0.97,0.53,1.82,4.45,-0.29,-0.12,-0.22,-0.87,,,85.0,,,85.0,,,85.0
ACWX,ACWX,3.4,10,bullish,-2.53,-1.59,-0.62,-0.93,0.2,-1.77,-0.88,-0.63,-1.04,,,85.0,,,85.0,,,85.0
AFK,Africa,0.0,10,bearish,-5.53,-7.88,-1.61,-8.2,-10.75,-2.0,-1.96,-0.76,-2.0,,,85.0,,,85.0,,,85.0
AGF,AGF,0.0,10,bearish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,,,46.0,,,46.0,,,46.0
AGG,Agg Bond,3.1,10,bullish,-1.02,-1.01,-1.15,-2.21,-3.2,-2.0,-2.0,-1.75,-2.0,,,97.0,,,97.0,,,97.0
AIA,AIA,3.0,10,bullish,-4.95,-1.45,1.15,8.63,15.8,0.43,0.55,-0.29,-0.79,,,85.0,,,85.0,,,85.0
AIQ,AIQ,3.6,10,bullish,-3.25,-1.02,3.37,12.04,21.9,1.31,1.15,0.33,-0.61,,,59.0,,,59.0,,,59.0
AIRR,AIRR,3.4,10,bullish,-6.53,-5.26,-6.23,-1.08,3.1,-1.58,-1.09,-2.0,-2.0,,,75.0,,,75.0,,,75.0
ALAI,ALAI,4.6,10,bullish,-4.08,-1.35,2.33,7.07,19.72,0.52,0.31,0.06,-0.72,,,27.0,,,27.0,,,27.0
AMG,AMG,2.0,10,bullish,-2.38,-2.2,-2.88,-2.02,-10.84,-2.0,-0.99,-1.08,-0.86,,,100.0,,,100.0,,,100.0
AMLP,AMLP,2.5,10,bullish,1.8,1.42,1.74,7.0,6.36,0.8,2.0,0.66,0.85,,,85.0,,,85.0,,,85.0
APIE,APIE,3.5,10,bullish,-2.12,-1.4,-0.24,-1.48,-2.81,-1.69,-0.86,-0.39,-0.86,,,39.0,,,39.0,,,39.0
APO,APO,4.0,10,bullish,-3.22,-0.59,0.65,3.0,4.62,0.58,0.27,0.09,-0.12,,,85.0,,,85.0,,,85.0
ARES,ARES,3.9,10,bullish,-5.77,-2.06,-1.5,1.97,-9.6,-0.23,0.29,-0.08,-0.29,,,75.0,,,75.0,,,75.0
ARGT,ARGT,0.0,10,bearish,-1.48,-1.82,-2.41,-7.03,-3.44,-0.46,-0.76,-0.37,-0.35,,,85.0,,,85.0,,,85.0
ARKF,ARKF,3.5,10,bullish,-3.55,-3.11,-3.73,-7.56,5.09,-0.04,-0.85,-0.62,-0.71,,,58.0,,,58.0,,,58.0
ARKG,ARKG,4.3,10,bullish,-3.63,-5.38,-5.57,-9.99,-5.19,-0.94,-1.36,-1.0,-1.16,,,72.0,,,72.0,,,72.0
ARKK,ARKK,3.4,10,bullish,-5.33,-5.59,-3.58,-6.91,3.43,-0.36,-1.04,-0.76,-1.36,,,72.0,,,72.0,,,72.0
ARKQ,ARKQ,3.6,10,bullish,-5.79,-4.34,1.74,-0.05,4.46,-0.84,-0.63,-0.12,-1.29,,,72.0,,,72.0,,,72.0
ARKW,ARKW,3.7,10,bullish,-4.26,-2.95,-0.2,1.4,14.35,0.18,-0.16,-0.22,-0.78,,,72.0,,,72.0,,,72.0
ARKX,ARKX,4.2,10,bullish,-4.04,-2.63,4.43,0.09,4.47,-0.8,-0.55,0.33,-0.86,,,41.0,,,41.0,,,41.0
ARTY,ARTY,3.7,10,bullish,-6.97,-4.68,-2.16,8.16,24.59,0.97,0.23,-0.82,-1.46,,,58.0,,,58.0,,,58.0
