year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-06,2026-02-23,Mar 06,1.0,1.0,1.0
2001,16,2001-09-10,2001-08-28,Sep 10,0.7806,0.5613,1.0
2000,10,2000-06-16,2000-06-05,Jun 16,0.6817,0.5634,0.8
2000,19,2000-10-20,2000-10-09,Oct 20,0.6493,0.5485,0.75
2004,3,2004-03-12,2004-03-01,Mar 12,0.6026,0.5623,0.6429
2026,0,2025-04-04,2025-03-24,Apr 04,0.6009,0.625,0.5769
2001,17,2001-09-24,2001-09-11,Sep 24,0.5999,0.5749,0.625
2024,16,2024-09-10,2024-08-28,Sep 10,0.5989,0.544,0.6538
2025,5,2025-04-09,2025-03-27,Apr 09,0.5926,0.6083,0.5769
2000,8,2000-05-19,2000-05-08,May 19,0.5879,0.5758,0.6
