ticker,price,ret_1m,ret_3m,ret_6m,ret_1y,ret_5y,ret_10y,ratio_3m_1m,ratio_6m_3m,ratio_1y_6m,ratio_5y_1y,ratio_10y_5y,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1y,vs_spy_5y,vs_spy_10y,vs_qqq_1y,vs_qqq_5y,vs_qqq_10y,vs_iau_1y,vs_iau_5y,vs_iau_10y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,strong_flag,score_returns,score_ratios,score_spy_days,history_depth,score_depth,score,rank
EFXT,25.42,17.96,45.51,104.01,281.68,323.67,190.85,2.53,2.29,2.71,1.15,0.59,3,True,True,True,True,True,252.43,252.62,-48.21,242.54,229.86,-303.95,242.99,170.86,-67.61,0.0019,XLI,0.3,0.83,clean,1.085,normal,none,strong_buy,88.37886251679355,79.46708463949844,90.59561128526646,6,100.0,90.5,1
MTZ,375.09,18.7,50.89,77.03,199.81,278.76,1611.96,2.72,1.51,2.59,1.4,5.78,4,True,True,True,True,True,170.56,207.71,1372.9,160.66,184.96,1117.16,161.12,125.96,1353.5,-0.8669,XLI,0.62,0.88,clean,0.83,normal,none,strong_buy,89.0916554709658,96.19905956112854,70.53291536050156,6,100.0,90.1,2
AGX,630.7,11.31,73.95,112.68,316.14,1104.78,,6.54,1.52,2.81,3.49,,4,True,True,True,True,True,286.89,1033.73,,276.99,1010.97,,277.45,951.97,,1.4121,,,-0.19,clean,0.889,normal,none,none,86.60247798178833,96.19905956112854,97.96238244514106,5,83.33333333333334,89.8,3
FORM,134.18,37.02,81.91,210.82,373.47,176.72,1733.06,2.21,2.57,1.77,0.47,9.81,4,True,True,True,True,True,344.22,105.67,1494.0,334.32,82.92,1238.26,334.77,23.91,1474.6,-1.0778,XLI,0.49,1.3,clean,1.227,normal,none,strong_buy,94.41334527541426,96.19905956112854,60.50156739811913,6,100.0,89.7,4
TNGX,25.14,30.53,112.15,235.2,1621.92,122.48,,3.67,2.1,6.9,0.08,,3,True,True,True,True,True,1592.67,51.43,,1582.77,28.68,,1583.23,-30.33,,2.2381,,,-0.04,clean,0.913,normal,none,none,94.48798328108673,79.46708463949844,99.05956112852664,5,83.33333333333334,89.1,5
ESP,69.66,23.91,31.58,78.71,123.99,328.15,182.48,1.32,2.49,1.58,2.65,0.56,3,True,True,True,True,True,94.74,257.1,-56.58,84.84,234.35,-312.32,85.3,175.34,-75.98,-0.2866,,,1.17,clean,1.096,normal,none,strong_buy,87.01298701298701,79.46708463949844,84.40438871473354,6,100.0,88.9,6
FTI,75.45,5.98,35.6,91.06,166.33,952.3,212.16,5.95,2.56,1.83,5.73,0.22,4,True,True,True,True,True,137.08,881.25,-26.9,127.18,858.5,-282.63,127.63,799.49,-46.29,-0.1956,XLE,0.45,-0.28,clean,0.94,normal,none,strong_buy,74.79847738468428,96.19905956112854,85.81504702194357,6,100.0,88.8,7
PWR,630.94,14.72,31.65,43.09,119.58,560.19,2656.4,2.15,1.36,2.77,4.68,4.74,4,True,True,True,True,True,90.33,489.14,2417.34,80.43,466.38,2161.6,80.89,407.38,2397.94,-0.8096,XLI,0.62,0.85,clean,0.885,normal,none,strong_buy,82.89296909986564,96.19905956112854,73.1974921630094,6,100.0,88.7,8
KOD,45.43,22.78,85.2,143.07,1002.67,93.32,,3.74,1.68,7.01,0.09,,3,True,True,True,True,True,973.42,22.27,,963.52,-0.48,,963.98,-59.49,,2.5287,,,-0.21,clean,1.126,normal,none,none,92.0659799970145,79.46708463949844,99.13793103448276,5,83.33333333333334,88.3,9
SYRE,68.63,45.06,105.73,193.67,385.7,-64.71,-67.67,2.35,1.83,1.99,-0.17,1.05,3,True,True,True,True,True,356.46,-135.77,-306.73,346.56,-158.52,-562.46,347.01,-217.52,-326.12,-0.5247,SPY,0.4,1.54,clean,1.604,confirmed,none,none,84.65815793402001,79.46708463949844,80.09404388714734,6,100.0,87.3,10
