ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
AAXJ,Asia ex-Jpn,4.1,10,bullish,5.22,6.76,8.58,2.04,5.58,-0.5,-0.09,2.0,2.0,,,70,,,70,,,70
ACWI,ACWI,3.7,10,bullish,3.45,4.02,6.35,1.47,0.88,-0.75,-0.05,2.0,1.83,,,71,,,71,,,71
ACWX,ACWX,3.6,10,bullish,4.27,4.87,8.2,2.95,5.15,-0.42,0.26,2.0,1.96,,,71,,,71,,,71
AFK,Africa,4.4,10,bullish,6.0,7.02,11.67,3.28,1.43,-1.65,-0.08,2.0,1.84,,,70,,,70,,,70
AGF,AGF,0.1,10,bullish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,,,48,,,48,,,48
AGG,Agg Bond,0.2,10,bullish,0.15,0.09,0.78,-0.34,-0.62,-0.98,-0.45,1.0,0.14,,,93,,,93,,,93
AIA,AIA,3.9,10,bullish,5.93,8.26,9.92,2.59,10.7,-0.09,-0.15,1.79,2.0,,,72,,,72,,,72
AIQ,AIQ,4.5,10,bullish,3.18,4.44,6.38,-1.1,-5.31,-1.15,-0.56,1.23,1.18,,,42,,,42,,,42
AIRR,AIRR,3.9,10,bullish,6.09,6.62,10.38,7.22,14.11,0.2,0.49,2.0,1.79,,,49,,,49,,,49
ALAI,ALAI,3.5,10,bullish,6.39,7.15,11.49,4.45,-1.23,-0.62,0.13,2.0,1.75,,,8,,,8,,,8
AMG,AMG,3.9,10,bullish,5.57,7.48,3.26,1.16,-7.14,-1.7,-0.46,0.2,1.61,,,100,,,100,,,100
AMLP,AMLP,4.3,10,bullish,-0.82,-0.13,-2.81,-0.21,9.97,1.55,-0.17,-1.17,-0.17,,,60,,,60,,,60
APIE,APIE,4.2,10,bullish,4.38,4.5,7.64,1.86,1.81,-0.83,0.09,2.0,1.75,,,18,,,18,,,18
APO,APO,4.8,10,bullish,-1.03,-2.58,-5.18,-1.72,-28.67,-1.76,-0.04,-0.72,-0.51,,,60,,,60,,,60
ARES,ARES,4.2,10,bullish,-1.74,-1.92,-6.91,-2.9,-42.84,-1.95,-0.09,-0.76,-0.3,,,49,,,49,,,49
ARGT,ARGT,4.7,10,bullish,1.65,0.36,7.25,4.97,0.22,-0.22,0.34,0.81,-0.04,,,60,,,60,,,60
ARKF,ARKF,4.2,10,bullish,0.08,0.84,1.67,-6.68,-21.99,-1.04,-0.74,0.12,0.06,,,40,,,40,,,40
ARKG,ARKG,0.6,10,bullish,-1.77,-2.49,0.64,-3.58,-13.68,-1.27,-0.6,-0.1,-0.63,,,49,,,49,,,49
ARKK,ARKK,4.7,10,bullish,0.77,1.06,2.82,-5.17,-13.98,-0.97,-0.79,0.15,0.0,,,49,,,49,,,49
ARKQ,ARKQ,4.2,10,bullish,3.32,3.72,4.69,-1.86,-6.07,-1.25,-0.74,0.37,0.53,,,49,,,49,,,49
ARKW,ARKW,4.6,10,bullish,0.87,1.51,2.77,-5.44,-17.52,-0.94,-0.7,0.21,0.15,,,49,,,49,,,49
