year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-06,2026-02-23,Mar 06,1.0,1.0,1.0
2001,16,2001-09-10,2001-08-28,Sep 10,0.7808,0.5615,1.0
2000,10,2000-06-16,2000-06-05,Jun 16,0.6821,0.5642,0.8
2000,19,2000-10-20,2000-10-09,Oct 20,0.6494,0.5487,0.75
2004,3,2004-03-12,2004-03-01,Mar 12,0.6027,0.5625,0.6429
2026,0,2025-04-04,2025-03-24,Apr 04,0.6013,0.6257,0.5769
2001,17,2001-09-24,2001-09-11,Sep 24,0.6001,0.5752,0.625
2024,16,2024-09-10,2024-08-28,Sep 10,0.5989,0.5439,0.6538
2025,5,2025-04-09,2025-03-27,Apr 09,0.5929,0.6088,0.5769
2000,8,2000-05-19,2000-05-08,May 19,0.5881,0.5762,0.6
