ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
TYRA,38.8,1.61,7.11,23.83,71.66,203.32,247.63,4.41,3.35,3.01,2.84,3.46,5,True,True,True,True,True,8.49,28.4,232.45,8.34,26.66,225.69,15.04,31.5,196.53,0.686,,,-0.06,clean,0.915,normal,none,97.1247960848287,99.95921696574224,96.24796084828712,97.8,1
TNGX,19.38,0.31,12.02,56.92,120.73,146.25,1020.23,38.71,4.73,2.12,1.21,8.45,5,True,True,True,True,True,13.4,61.5,1005.06,13.26,59.75,998.29,19.95,64.6,969.14,0.341,,,-0.02,clean,0.745,thin,none,96.83931484502448,99.95921696574224,94.12724306688418,97.0,2
DNTH,80.31,0.45,3.15,61.52,93.85,106.61,290.04,6.99,19.55,1.53,1.14,3.09,4,True,True,True,True,True,4.52,66.1,274.87,4.38,64.35,268.11,11.08,69.2,238.95,0.0683,,,-0.17,clean,0.672,thin,none,94.52147906470907,97.79771615008157,91.92495921696575,94.7,3
LINC,38.67,0.94,2.82,24.3,65.75,80.2,148.68,3.0,8.62,2.71,1.22,2.26,4,True,True,True,True,True,4.2,28.88,133.51,4.05,27.13,126.74,10.75,31.98,97.59,0.023,,,-1.1,clean,1.522,confirmed,none,93.66503534529636,97.79771615008157,91.43556280587276,94.3,4
BNAI,41.94,1.85,9.5,119.24,2641.18,1239.94,1006.6,5.15,12.55,22.15,0.47,0.38,3,True,True,True,True,True,10.88,123.81,991.43,10.74,122.07,984.66,17.43,126.91,955.5,9.0805,,,-0.28,clean,0.06,thin,none,99.06199021207179,83.76835236541599,99.836867862969,94.2,5
PL,34.87,29.29,40.66,38.87,111.72,228.65,707.18,1.39,0.96,2.87,2.05,6.33,3,True,True,True,True,True,42.04,43.44,692.0,41.9,41.7,685.24,48.59,46.55,656.08,3.5693,,,2.93,overextended,1.194,normal,none,99.25231103860794,83.76835236541599,99.18433931484503,94.1,6
COP,127.04,0.84,4.22,13.84,33.78,35.9,25.37,5.04,3.28,2.44,1.06,0.75,4,True,True,True,True,True,5.6,18.42,10.2,5.46,16.67,3.43,12.15,21.52,-25.73,0.9434,XLE,0.87,0.79,clean,0.849,normal,none,84.84230560087003,97.79771615008157,96.90048939641109,93.2,7
CAPR,32.03,2.78,5.03,9.9,22.5,400.55,162.15,1.81,1.97,2.27,17.8,7.21,3,True,True,True,True,True,6.41,14.47,146.98,6.27,12.73,140.21,12.96,17.57,111.06,1.1314,,,0.17,clean,0.698,thin,none,93.50870038064166,83.76835236541599,97.38988580750407,91.6,8
PRE,20.75,-1.89,0.14,7.51,29.85,91.42,389.39,-0.08,51.89,3.97,3.06,13.04,4,True,True,True,True,True,1.52,12.09,374.22,1.38,10.34,367.45,8.08,15.19,338.29,2.5039,,,-0.19,clean,0.459,thin,buy_today,74.63295269168026,97.79771615008157,98.93964110929853,90.5,9
XOP,176.54,0.86,5.15,16.64,38.03,32.82,32.38,6.01,3.23,2.29,0.86,0.85,3,True,True,True,True,True,6.53,21.21,17.21,6.39,19.47,10.44,13.08,24.31,-18.72,0.7688,XLE,0.82,0.96,clean,0.972,normal,none,86.68433931484502,83.76835236541599,96.8189233278956,89.1,10
NYT,81.03,-0.33,2.16,7.33,16.58,38.55,65.15,-6.63,3.39,2.26,2.32,3.93,4,True,True,True,True,True,3.54,11.91,49.98,3.4,10.16,43.22,10.09,15.01,14.06,-0.1886,XLC,0.4,0.05,clean,0.626,thin,buy_today,80.24741707449702,97.79771615008157,88.33605220228385,88.8,11
DVN,49.07,0.6,6.1,9.87,32.8,40.16,36.12,10.08,1.62,3.32,1.22,1.1,3,True,True,True,True,True,7.47,14.45,20.95,7.33,12.7,14.18,14.03,17.55,-14.98,0.3584,XLE,0.73,0.68,clean,1.475,normal,none,86.83387710712343,83.76835236541599,94.37194127243067,88.3,12
FANG,192.54,1.18,5.58,10.2,24.97,36.91,22.17,4.73,1.83,2.45,1.48,0.89,3,True,True,True,True,True,6.96,14.78,7.0,6.81,13.03,0.23,13.51,17.88,-28.92,0.5484,XLE,0.65,0.6,clean,0.918,normal,none,84.01305057096249,83.76835236541599,95.43230016313214,87.7,13
LQDA,37.31,-0.12,1.78,6.46,9.65,51.25,150.08,-15.28,3.63,1.49,5.31,15.56,3,True,False,True,True,False,3.16,11.03,134.91,3.01,9.29,128.15,9.71,14.13,98.99,0.7615,,,0.06,clean,0.427,thin,none,82.70119630233823,83.76835236541599,96.73735725938009,87.7,13
CVX,202.88,0.72,3.08,9.8,35.69,27.73,23.67,4.28,3.18,3.64,0.78,0.66,3,True,True,True,True,True,4.46,14.37,8.5,4.31,12.63,1.73,11.01,17.47,-27.43,0.6655,XLE,0.86,0.59,clean,1.018,normal,none,82.61963023382272,83.76835236541599,96.08482871125612,87.5,15
PDBC,17.26,0.2,0.73,18.75,26.87,28.96,28.0,3.59,25.7,1.43,1.08,1.04,3,True,True,True,True,True,2.11,23.33,12.83,1.96,21.58,6.07,8.66,26.43,-23.09,1.7277,IAU,0.58,-0.27,clean,1.202,normal,none,79.37058183795541,83.76835236541599,98.04241435562805,87.1,16
DBC,28.88,0.14,0.59,18.22,26.39,28.7,30.03,4.27,30.76,1.45,1.09,1.14,3,True,True,True,True,True,1.97,22.79,14.86,1.83,21.05,8.09,8.52,25.89,-21.06,1.7255,IAU,0.6,-0.3,clean,0.836,normal,none,78.9899401848831,83.76835236541599,97.96084828711255,86.9,17
CTRA,34.1,0.56,6.07,7.54,31.56,41.55,16.66,10.82,1.24,4.19,1.32,0.53,3,True,True,True,True,True,7.44,12.11,1.49,7.3,10.37,-5.28,14.0,15.21,-34.43,0.3407,XLE,0.65,0.73,clean,0.995,normal,none,82.38172920065253,83.76835236541599,94.04567699836868,86.7,18
CACI,608.03,-0.8,0.22,2.85,8.43,22.46,57.16,-0.27,13.18,2.96,2.66,6.78,4,True,False,True,True,False,1.59,7.42,41.99,1.45,5.68,35.22,8.15,10.52,6.06,0.243,,,-0.31,clean,0.701,thin,none,68.3115823817292,97.79771615008157,93.71941272430668,86.6,19
NET,221.7,0.15,4.35,15.09,15.81,-0.84,88.55,29.21,3.46,1.05,-0.05,5.6,3,True,True,True,True,True,5.73,19.66,73.38,5.59,17.92,66.61,12.28,22.76,37.46,1.3326,XLK,0.39,0.61,clean,0.74,thin,none,77.80043501903208,83.76835236541599,97.63458401305057,86.4,20
TERN,48.99,-0.14,5.31,24.18,16.7,498.9,1450.32,-37.21,4.55,0.69,29.88,86.85,3,True,True,True,True,True,6.69,28.76,1435.15,6.54,27.01,1428.38,13.24,31.86,1399.22,-0.4076,,,0.96,clean,1.041,normal,buy_today,90.45676998368678,83.76835236541599,84.17618270799348,86.1,21
PSX,177.6,-0.43,2.81,14.28,34.56,35.21,37.67,-6.6,5.07,2.42,1.02,1.09,3,True,True,True,True,True,4.19,18.85,22.5,4.05,17.11,15.74,10.74,21.95,-13.42,0.3522,XLE,0.75,0.5,clean,1.178,normal,buy_today,80.29499728113105,83.76835236541599,94.29037520391516,86.1,21
NTR,75.51,-0.72,-8.86,5.2,19.29,34.29,44.24,12.25,-0.59,3.71,1.78,2.29,4,True,True,True,True,True,-7.48,9.77,29.07,-7.62,8.03,22.3,-0.93,12.87,-6.85,0.7383,XLE,0.51,-1.57,stalling,1.131,normal,none,62.69032082653616,97.79771615008157,96.5742251223491,85.7,23
MNMD,18.64,-0.03,3.24,7.96,53.71,96.68,178.28,-120.82,2.46,6.75,1.8,3.32,3,True,True,True,True,True,4.62,12.54,163.11,4.47,10.79,156.35,11.17,15.64,127.19,-0.4816,,,0.22,clean,0.541,thin,buy_today,90.11011419249593,83.76835236541599,83.03425774877651,85.6,24
EQT,65.07,0.61,1.09,8.87,19.7,31.75,21.4,1.78,8.15,2.22,1.61,1.09,3,True,True,True,True,True,2.46,13.44,6.23,2.32,11.7,-0.54,9.02,16.54,-29.7,0.1778,,,0.09,clean,0.682,thin,none,78.5753126699293,83.76835236541599,93.06688417618271,85.1,25
EZPW,25.77,-0.12,-0.39,1.98,30.28,44.05,81.48,3.32,-5.12,15.31,1.45,2.69,4,True,True,True,True,True,0.99,6.55,66.31,0.85,4.81,59.54,7.54,9.66,30.38,-0.697,XLI,0.56,-0.62,clean,0.595,thin,buy_today,77.79363784665578,97.79771615008157,78.79282218597064,84.8,26
GPRE,15.88,-3.82,0.44,17.02,64.9,54.47,200.76,-0.12,38.45,3.81,0.84,3.09,3,True,True,True,True,True,1.82,21.6,185.59,1.68,19.85,178.82,8.37,24.7,149.66,0.6121,XLE,0.4,-1.33,clean,0.895,normal,buy_today,74.36786296900489,83.76835236541599,95.75856443719412,84.6,27
MRVL,89.13,-0.39,1.45,11.96,9.09,20.07,27.68,-3.7,8.27,0.76,2.21,3.04,3,True,True,True,True,True,2.82,16.53,12.5,2.68,14.79,5.74,9.38,19.63,-23.42,1.453,VXUS,0.38,-0.37,clean,0.728,thin,buy_today,72.04323001631322,83.76835236541599,97.79771615008157,84.5,28
SAMT,40.02,0.51,1.92,1.28,6.08,9.51,35.31,3.73,0.66,4.76,1.56,5.81,4,True,False,True,True,False,3.3,5.85,20.14,3.16,4.11,13.37,9.85,8.95,-15.78,-0.5706,XLK,0.64,-0.16,clean,1.006,normal,none,73.56579662860251,97.79771615008157,81.40293637846656,84.3,29
PWR,577.82,-0.02,3.36,4.3,39.49,47.91,113.69,-215.95,1.28,9.18,1.21,2.88,3,True,True,True,True,True,4.74,8.87,98.52,4.6,7.13,91.75,11.29,11.98,62.6,-0.5801,XLI,0.54,-0.05,clean,0.737,thin,buy_today,87.12615551930396,83.76835236541599,81.15823817292006,84.0,30
