ticker,composite_score,sustainability_score,extension_score,is_safe,pct_above_sma9,longest_run_days,positive_months,sma21_crosses,gain_last_1wk,gain_last_1mo,gain_last_3mo,gain_last_12mo,recency_ratio,extension_from_sma29_pct,regime,days_in_regime,current_price,dist_from_sma9_pct,dist_from_sma21_pct,dist_from_sma29_pct
WDC,1.0506,1.0,1.0,False,0.7341269841269841,31,10,10,-0.08033490983839442,0.04435124210046881,0.6243579904362713,7.59575132771009,0.06868294104218202,-0.07219072103513825,BREAKDOWN,8,550.3,-7.420457710475614,-9.834677793737743,-7.219072103513826
BTSG,1.0476,1.0,1.0,True,0.7301587301587301,28,12,7,0.009305654974946398,0.19047619047619047,0.5223493845821636,2.2882462686567164,1.1723324763535212,0.09142448378211021,TRENDING,20,70.5,1.1139264712913002,6.1153399561347115,9.142448378211022
TERN,1.0417,1.0,1.0,False,0.7222222222222222,40,11,5,0.0,0.006080182405472145,0.39415481832543464,16.650000000000002,0.004021768277822827,0.0027885167964056094,TRENDING,19,52.95,0.016790144185365816,0.21630390698930574,0.27885167964056096
ERAS,1.0392,1.0,0.8563,False,0.7380952380952381,45,11,9,0.053013392857142794,0.4662004662004664,0.11393152302243204,11.924657534246576,0.7016643381983664,0.2677926049485682,TRENDING,12,18.87,6.1172206948262895,20.6631953959989,26.77926049485682
SNDK,1.0357,1.0,1.0,False,0.7142857142857143,26,10,6,-0.1501018590506933,0.05187576126674798,1.2117812780125496,36.40914013428633,0.01735321093228135,-0.07857196205840614,BREAKDOWN,5,1727.18,-11.760318249627053,-11.11081157980408,-7.857196205840614
CIEN,1.0298,1.0,1.0,False,0.7063492063492064,22,10,11,-0.046427644667416224,-0.05507103520689138,-0.10736624764680869,4.606025934401221,-0.11394181653369644,-0.09044723253531331,BREAKDOWN,5,440.97,-3.4909989324682735,-2.3836002567862207,-9.04472325353133
NESR,1.0208,1.0,1.0,False,0.6944444444444444,28,9,9,-0.05555555555555558,0.08237166732988466,0.13097713097713082,3.0597014925373136,0.33845079345556667,0.052926650203564116,PULLBACK,2,27.2,-3.218154503044198,3.491384777055065,5.292665020356411
MTRN,1.0133,1.0,1.0,True,0.7023809523809523,19,9,12,-0.1242814318462353,0.1010553387726143,0.5319267073847862,1.9462505932605598,0.6428287992745702,-0.012260008751270495,BREAKDOWN,4,248.31,-9.22978192792128,-5.126558326722799,-1.2260008751270495
MU,1.0089,1.0,1.0,False,0.6785714285714286,31,9,12,-0.08086953152245513,-0.0005056463846283554,1.3327514567403433,6.625783636071371,-0.0009187038631116446,-0.07479153959083319,BREAKDOWN,5,948.8,-10.351771033350385,-8.924984058855399,-7.47915395908332
ASX,1.006,1.0,1.0,True,0.6746031746031746,32,9,10,-0.07117934403349624,0.12415540540540526,0.6541010770505384,2.9032258064516125,0.560523153994947,0.013318748632684313,PULLBACK,2,39.93,-4.694088630758219,0.42756539235411106,1.3318748632684314
POWL,1.003,1.0,1.0,True,0.6706349206349206,31,9,13,-0.12463188099373257,-0.21032016348773852,0.06319071857660385,2.2138896589963957,-0.7563372532987049,-0.182894580136159,BREAKDOWN,8,231.85,-12.383059843128025,-17.302051291632626,-18.2894580136159
AXGN,1.0,1.0,1.0,True,0.6666666666666666,21,9,14,-0.028850522489777486,0.03111432706222872,0.25735294117647056,2.723867595818815,0.12058869162313378,-0.005845842956120001,BREAKDOWN,2,42.75,-4.653929075905136,-2.764088511486341,-0.5845842956120001
STX,0.997,1.0,1.0,False,0.6626984126984127,31,9,14,-0.060282564276270545,-0.01910421205105106,0.7328631875881522,4.952931404443829,-0.04223145247770813,-0.07605169841013455,BREAKDOWN,10,860.02,-5.029165429456961,-8.787047455894555,-7.605169841013455
VIAV,0.997,1.0,1.0,True,0.6626984126984127,24,8,15,-0.135330359039728,-0.16512820512820503,-0.017145617000724367,2.955296404275997,-0.4867171035407499,-0.16114680463952688,BREAKDOWN,11,40.7,-9.622501850481115,-14.817066485942368,-16.114680463952688
EFXT,0.994,1.0,1.0,True,0.6587301587301587,23,8,9,0.035638523546881684,-0.017706237424547355,0.1634890371782649,2.089873417721519,-0.08988095287067967,-0.004877980206927439,TRENDING,1,24.41,1.8923055516905516,0.8776935944111063,-0.4877980206927584
ENLT,0.994,1.0,1.0,True,0.6587301587301587,21,10,13,-0.04064760592490535,-0.12108142225962559,0.1760979729729728,2.3379944067119456,-0.48523648777777356,-0.0931801850354801,BREAKDOWN,2,83.55,-3.1466549885365356,-6.051714259706466,-9.31801850354801
MNMD,0.994,1.0,1.0,True,0.6587301587301587,20,9,14,-0.026690391459074814,0.062135922330097015,0.2962085308056872,2.424100156494523,0.330550748176594,0.05021682280115176,PULLBACK,5,21.88,-1.7659383418138175,0.2793539938891239,5.021682280115176
MUU,0.9911,1.0,1.0,False,0.6547619047619048,29,9,15,-0.1728920836225457,-0.10991682175547879,3.096550518587577,27.440533980582522,-0.04674990939214069,-0.21612732075094487,BREAKDOWN,5,703.05,-21.362969775303238,-21.975064236648763,-21.61273207509449
TER,0.9911,1.0,1.0,True,0.6547619047619048,26,10,12,-0.17730612626948095,-0.0617043422562652,-0.01875575651008965,2.8122966818477555,-0.22691015352168117,-0.12593435289498295,BREAKDOWN,5,351.57,-15.091104253320808,-14.10306975445456,-12.593435289498295
AXTI,0.9881,1.0,1.0,False,0.6507936507936508,29,10,8,-0.07550361371674619,-0.33773959021810973,0.1305001880406167,24.367088607594933,-0.10128609475117675,-0.30562160224625123,BREAKDOWN,11,60.12,-7.695457104351839,-23.348450904322174,-30.562160224625124
FIX,0.9881,1.0,1.0,True,0.6507936507936508,31,8,14,-0.09661957483312333,-0.09021992084361485,0.1047627789871226,2.19468355390391,-0.38079877209835045,-0.09877660538842505,BREAKDOWN,5,1684.94,-8.484095037506858,-10.167538365805944,-9.877660538842525
LQDA,0.9876,1.0,0.9652,False,0.6547619047619048,28,9,11,0.0018910741301059186,0.24366197183098603,1.0809112333071487,5.21830985915493,0.67862223085122,0.13608041092784123,TRENDING,23,79.47,1.0069199265640438,7.758019525801958,13.608041092784099
LRCX,0.9851,1.0,1.0,True,0.6468253968253969,24,9,14,-0.14852016561877013,0.026814609338881246,0.35157612884904044,2.3371731944305316,0.13732102987439643,-0.06628633943577174,BREAKDOWN,5,333.15,-11.22050158410566,-9.81076910582313,-6.6286339435771735
MULL,0.9851,1.0,1.0,False,0.6468253968253969,29,9,15,-0.16769336071184116,-0.11820159535895569,3.0065897858319603,26.87712058688675,-0.05067601342228979,-0.2211240074654062,BREAKDOWN,5,24.32,-21.556821847113223,-22.36882106159178,-22.11240074654062
TSEM,0.9851,1.0,1.0,False,0.6468253968253969,35,10,12,-0.11716776664222284,-0.10469343910097506,0.06392380204241932,3.865289627301302,-0.26191615963453585,-0.15732604588357874,BREAKDOWN,10,216.7,-9.208560083049761,-15.053078992217817,-15.732604588357873
VPG,0.9851,1.0,1.0,True,0.6468253968253969,25,8,9,-0.2503992778279286,-0.10011670556852281,1.1994702526487369,2.789048789048789,-0.3404693057821683,-0.1726876321353065,BREAKDOWN,4,107.95,-16.161851506679085,-18.23945871668823,-17.26876321353065
PVLA,0.9835,1.0,0.9241,False,0.6547619047619048,23,8,11,0.05012295674815581,0.3794774346793348,0.17877729966712663,4.833266372036962,1.2008743490174296,0.18214309779434887,PULLBACK,1,145.19,-0.12076833118039024,14.839115483557508,18.21430977943489
ARWR,0.9821,1.0,1.0,False,0.6428571428571429,44,10,13,0.06588761810044752,0.16084484159220147,0.33219390926041004,3.888255416191562,0.5399047960973731,0.09451304060746107,TRENDING,4,85.74,3.737262388083779,7.8826588694891395,9.451304060746107
MKSI,0.9792,1.0,1.0,True,0.6388888888888888,21,10,12,-0.15000608198515997,0.11951680604953707,0.3647513768993398,2.3424854108868267,0.6587342006906355,-0.030936955444739813,BREAKDOWN,4,349.39,-10.242767636690601,-6.700075914695801,-3.0936955444739813
NWPX,0.9792,1.0,1.0,True,0.6388888888888888,23,9,12,-0.08371448371448376,0.09128425222845826,0.6126356872789365,2.1533508227999048,0.5233942298434008,0.00023999206982726944,DIP,5,132.22,-7.465123874399285,-3.431653850568115,0.023999206982726944
SIMO,0.9792,1.0,1.0,False,0.6388888888888888,32,9,12,-0.011609565272256983,0.19030431974469075,1.5733059548254622,3.330937240807299,0.7793062247314972,0.05537228481821344,PULLBACK,5,313.3,-0.734362238431845,3.8489767893362026,5.537228481821344
SOXL,0.9792,1.0,1.0,False,0.6388888888888888,31,9,15,-0.19641461732934962,-0.17319334090049188,1.5899259259259257,5.629503223359878,-0.3158230421756218,-0.2338632046459826,BREAKDOWN,5,174.82,-17.416977656006427,-22.404861294583903,-23.38632046459826
SPHR,0.9792,1.0,1.0,True,0.6388888888888888,24,9,15,-0.10666982024597915,0.09876363636363639,0.15381090575836276,2.504523312456507,0.463104236933674,-0.0031375778990742737,BREAKDOWN,4,151.08,-7.41071124578665,-3.278143777380101,-0.31375778990740866
TYRA,0.9791,1.0,0.9998,True,0.6388888888888888,21,9,9,0.10744644678680726,0.21757009345794387,-0.12281174252625915,2.286579212916246,1.3309305720983868,0.10023529959929176,TRENDING,2,32.57,3.8473801679243405,10.73567982385132,10.023529959929176
SLGL,0.9762,1.0,1.0,False,0.6349206349206349,37,8,13,0.038477566328656954,-0.06549999999999989,0.003489932885906155,9.664764621968617,-0.07040183381631995,0.00961632493398971,TRENDING,4,74.76,0.7185198491108483,0.8667047871144437,0.9616324933989709
RVMD,0.9751,1.0,0.959,False,0.6388888888888888,55,11,9,0.01205269052317215,0.2779985184187488,0.9614470284237726,4.207738748627882,0.9540620943691974,0.14272988714583845,TRENDING,17,189.77,1.2334629427663764,11.475157625023087,14.272988714583846
ANAB,0.9736,1.0,0.9745,False,0.6349206349206349,29,8,9,-0.0012226807274952067,0.2723909657320871,0.49576562142366676,3.041434755720469,1.3466351223019826,0.12612157585120912,TRENDING,2,65.35,1.380701210052747,9.364540499187124,12.612157585120912
VICR,0.9732,1.0,1.0,False,0.6309523809523809,28,8,15,-0.2485651466263098,-0.04295014001527442,0.46208122673481866,4.765994741454865,-0.09357977111952052,-0.1700616501892787,BREAKDOWN,4,263.16,-16.72415429891458,-16.30810422793726,-17.00616501892787
LITE,0.9702,1.0,1.0,False,0.626984126984127,25,10,14,-0.11740476309351433,-0.21029707393343755,-0.21084350795741158,6.743949184098128,-0.2699719796321113,-0.1748945577218512,BREAKDOWN,5,707.1,-9.797807275536309,-15.407481508150992,-17.48945577218513
AMD,0.9673,1.0,1.0,True,0.623015873015873,31,6,13,-0.043392249667209004,0.05522811167988895,1.2319472004141145,2.7542446669569003,0.24359034432350857,-0.0014181895622314275,BREAKDOWN,2,517.41,-3.3645166244018156,-0.6136635963668816,-0.14181895622314275
VSAT,0.9673,1.0,1.0,False,0.623015873015873,16,9,12,-0.10864851842929413,0.13011606597434322,0.3136872004260607,3.648241206030151,0.4298322896562798,0.032589605777882516,PULLBACK,1,74.0,-3.345185400188655,5.700623728905785,3.2589605777882515
ACMR,0.9643,1.0,1.0,True,0.6190476190476191,22,7,7,-0.1629395698190509,0.21720243266724593,1.1254876462938879,2.4374342797055726,1.3392321441769524,0.021360722558402497,DIP,4,98.07,-8.375289366870486,-1.3266831483930344,2.13607225584025
ASYS,0.9613,1.0,1.0,True,0.6150793650793651,23,7,8,-0.13707317073170722,-0.10248604769152714,0.3576362240982349,2.6625258799171845,-0.38369167827125333,-0.14615026130954362,BREAKDOWN,5,17.69,-10.334534805136286,-14.020876246904423,-14.615026130954362
PL,0.9613,1.0,1.0,False,0.6150793650793651,39,8,13,-0.122113255298956,-0.15241295051924253,-0.24076607387140891,3.004329004329004,-0.44596596914982,-0.1899767486336047,BREAKDOWN,2,27.75,-6.896551724137937,-7.063345241132941,-18.99767486336047
UCTT,0.9613,1.0,1.0,False,0.6150793650793651,19,9,14,-0.2213133729454434,0.20231145001787199,0.46991988346686075,3.0493579454253608,0.9259726750991645,-0.0351818271735188,BREAKDOWN,4,100.91,-13.179932317457894,-8.872729461951295,-3.51818271735188
VSCO,0.9613,1.0,1.0,True,0.6150793650793651,22,10,7,-0.014541243083258215,0.0041961709939679626,0.4852598913886732,2.8328328328328327,0.016231435589802473,0.008066090193141404,DIP,5,76.58,-5.398394070413824,-3.7173630610619806,0.8066090193141404
ROIV,0.9592,0.844,0.9592,True,0.6904761904761905,57,10,14,0.0302597773337141,0.2667602667602669,0.28115015974440905,2.323204419889503,1.6847927773879159,0.14256238946747898,TRENDING,18,36.09,2.7359564777327856,11.059171771050092,14.256238946747887
AGX,0.9583,1.0,1.0,True,0.6111111111111112,20,8,15,-0.1296170346342994,0.0733572050711313,0.1311960291017884,2.285735446600504,0.3176626862600056,-0.04541825653647959,BREAKDOWN,4,665.46,-9.709914641757686,-5.691385010537846,-4.541825653647959
AMAT,0.9576,1.0,1.0,True,0.6349206349206349,22,9,13,-0.12353474366655903,0.15915232541601476,0.47905216219018976,1.9257910662085234,1.221474844827299,0.019801199019186148,DIP,4,570.5,-9.670983881693536,-3.937515485219587,1.9801199019186149
DOCN,0.9554,1.0,1.0,False,0.6071428571428571,21,11,13,-0.028427168349702714,-0.17038743208126617,0.5716043857686284,3.76816021724372,-0.3843753610514339,-0.12146039742754733,BREAKDOWN,13,140.47,-0.8524821582620974,-10.825370242172696,-12.146039742754732
AIP,0.9524,1.0,1.0,True,0.6031746031746031,42,8,15,-0.2134215932435517,-0.022688598979012986,0.8108250131371517,2.608376963350785,-0.09245116746165956,-0.1187477954144621,BREAKDOWN,5,34.46,-14.396908639249247,-13.986188534819865,-11.87477954144621
ASCUF,0.9524,1.0,1.0,True,0.6031746031746031,17,9,10,-0.12481203007518793,-0.0948678071539657,0.2819383259911894,2.7070063694267517,-0.3281525085723131,-0.0995038147575093,BREAKDOWN,3,5.82,-10.123541523678783,-12.154100481563999,-9.95038147575093
TVTX,0.9508,1.0,0.9842,True,0.6031746031746031,19,9,9,0.0358537451189207,0.2395921835174173,0.8421717171717171,2.81437908496732,1.2525506938148459,0.1160981014119058,TRENDING,2,58.36,1.0193483863522832,6.7096212451023085,11.609810141190579
ANRO,0.9496,1.0,0.9428,False,0.6071428571428571,27,8,13,0.04611066559743371,0.4303728070175439,0.20175034546292037,9.436,0.7380886930453668,0.1606940140520971,TRENDING,1,26.09,0.11938771159340461,10.577621700169532,16.06940140520971
AIS,0.9387,1.0,1.0,True,0.7063492063492064,32,9,13,-0.06956849918228714,-0.0009455626097528702,0.545340576681989,1.6357804704205274,-0.006364565954002715,-0.05795026309085656,BREAKDOWN,5,73.96,-6.045421824495058,-6.027420467333835,-5.795026309085656
RLAY,0.9238,0.8536,0.8993,False,0.6468253968253969,26,10,9,0.10529279279279269,0.4370424597364566,0.3528600964851827,4.467966573816156,1.671571321271167,0.21198637428145603,TRENDING,4,19.63,4.217791411042944,16.44915254237287,21.19863742814563
TTI,0.9026,1.0,1.0,True,0.6507936507936508,27,9,9,-0.08975609756097558,-0.05947580645161288,0.12004801920768315,1.6581196581196584,-0.37241706866524593,-0.08178640513116374,BREAKDOWN,5,9.33,-8.048620236530894,-8.195108237278596,-8.178640513116374
CECO,0.8977,1.0,1.0,True,0.6349206349206349,17,8,11,-0.07036820572764457,-0.01241773252204148,0.2702443699089603,1.6859169199594732,-0.078281530408212,-0.09525733563470898,BREAKDOWN,10,79.53,-7.585343180292304,-12.47156857607044,-9.525733563470883
NGD,0.896,1.0,1.0,True,0.6190476190476191,30,10,11,-0.12015503875968991,-0.2569558101472995,0.08742514970059889,1.7267267267267266,-1.0532649223611092,-0.19429630815014634,BREAKDOWN,14,9.08,-10.746953633632184,-19.703507686658387,-19.429630815014633
GH,0.8876,0.8052,0.9743,True,0.6111111111111112,22,7,8,-0.08549511038238577,0.25046040515653756,0.6821413183972425,2.073002754820936,1.7418764284065928,0.12634173273778132,PULLBACK,1,156.17,-1.1992211389086047,9.850309329456795,12.634173273778131
BELFB,0.886,1.0,1.0,True,0.6626984126984127,16,9,11,-0.18672577501100418,-0.07329917959373766,0.13307635025625308,1.55602766798419,-0.47304597734242027,-0.09983992204899758,BREAKDOWN,4,258.67,-11.89380463989706,-11.581070258937801,-9.983992204899776
INDV,0.8852,1.0,1.0,True,0.6150793650793651,29,6,9,0.01590062111801238,0.0936079165552286,0.2802128991859736,1.6954515491100857,0.6476448994170911,0.05995137386702902,TRENDING,1,40.89,0.22877686085464594,3.467845911002395,5.995137386702902
