target_date,window,similar_date,correlation
2026-03-23,25Y,2026-03-20,0.9413
2026-03-23,25Y,2026-03-19,0.906
2026-03-23,25Y,2026-03-18,0.8407
2026-03-23,25Y,2026-03-17,0.8174
2026-03-23,25Y,2026-03-13,0.6935
2026-03-23,25Y,2026-03-16,0.6497
2026-03-23,25Y,2026-03-12,0.6171
2026-03-23,25Y,2022-05-06,0.5966
2026-03-23,25Y,2022-05-09,0.5865
2026-03-23,25Y,2013-06-21,0.5762
2026-03-23,25Y,2022-05-13,0.57
2026-03-23,25Y,2013-06-20,0.5666
2026-03-23,25Y,2013-06-28,0.5658
2026-03-23,25Y,2013-06-24,0.564
2026-03-23,25Y,2002-10-10,0.5615
2026-03-23,25Y,2013-06-26,0.5591
2026-03-23,25Y,2013-06-25,0.5566
2026-03-23,25Y,2022-05-10,0.5542
2026-03-23,25Y,2022-04-29,0.5533
2026-03-23,25Y,2022-05-05,0.5487
2026-03-23,25Y,2005-04-05,0.5447
2026-03-23,25Y,2021-10-05,0.5439
2026-03-23,25Y,2022-09-26,0.5412
2026-03-23,25Y,2013-06-27,0.5398
2026-03-23,25Y,2010-02-11,0.5391
2026-03-23,25Y,2026-03-11,0.5384
2026-03-23,25Y,2022-05-12,0.5381
2026-03-23,25Y,2010-02-10,0.5372
2026-03-23,25Y,2010-02-12,0.5335
2026-03-23,25Y,2013-06-19,0.532
2026-03-23,25Y,2021-10-06,0.5314
2026-03-23,25Y,2018-02-21,0.5301
2026-03-23,25Y,2023-08-22,0.5234
2026-03-23,25Y,2022-04-28,0.5227
2026-03-23,25Y,2022-09-27,0.5212
2026-03-23,25Y,2023-10-03,0.5211
2026-03-23,25Y,2010-02-05,0.5209
2026-03-23,25Y,2001-03-19,0.5144
2026-03-23,25Y,2009-03-09,0.5122
2026-03-23,25Y,2025-01-10,0.511
2026-03-23,25Y,2022-05-11,0.5109
2026-03-23,25Y,2010-05-28,0.5108
2026-03-23,25Y,2010-02-08,0.5085
