ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
TVTX,59.03,2.32,9.03,33.28,114.19,61.73,287.34,3.89,3.68,3.43,0.54,2.52,4,True,True,True,True,True,10.04,35.56,266.45,9.88,35.18,254.62,13.97,44.01,266.55,0.7186,XLY,0.43,0.39,clean,1.23,normal,none,92.01255853554704,97.38186462324393,93.03959131545338,94.1,1
ADTTF,211.46,4.82,40.58,23.66,37.42,62.87,278.28,8.42,0.58,1.58,1.68,7.44,3,True,True,True,True,True,41.59,25.94,257.4,41.43,25.56,245.57,45.51,34.39,257.49,3.9959,,,3.86,overextended,,normal,none,93.34823329076202,84.22733077905492,99.36143039591315,92.3,2
LQDA,76.92,1.83,12.05,27.99,110.11,114.98,458.2,6.59,2.32,3.93,1.04,4.16,4,True,True,True,True,True,13.05,30.26,437.32,12.9,29.89,425.48,16.98,38.72,437.41,0.1813,XLV,0.33,-0.22,clean,2.348,confirmed,none,93.21519795657726,97.38186462324393,85.5683269476373,92.1,3
TWIN,23.21,3.76,11.53,36.05,48.31,43.89,159.33,3.07,3.13,1.34,0.91,3.3,3,True,True,True,True,True,12.54,38.33,138.45,12.38,37.95,126.61,16.47,46.78,138.54,1.324,XLI,0.65,0.26,clean,1.766,confirmed,none,91.00681140911026,84.22733077905492,96.99872286079183,90.7,4
GLUE,21.66,3.88,17.65,12.81,37.87,33.79,356.96,4.54,0.73,2.96,0.89,9.42,3,True,True,True,True,True,18.66,15.09,336.08,18.5,14.72,324.24,22.59,23.54,336.17,1.4993,LQD,0.3,2.3,overextended,2.008,confirmed,none,90.04895700297999,84.22733077905492,97.70114942528735,90.7,4
GHRS,25.34,3.01,16.77,9.46,85.64,94.62,102.07,5.58,0.56,9.05,1.1,1.19,3,True,True,True,True,True,17.78,11.74,81.19,17.62,11.36,69.36,21.71,20.19,81.29,1.1883,,,1.57,clean,1.596,confirmed,none,90.362920391656,84.22733077905492,96.36015325670499,90.3,6
MAMA,19.52,1.46,24.09,35.56,27.75,42.38,133.77,16.56,1.48,0.78,1.53,4.82,3,True,True,True,True,True,25.1,37.83,112.89,24.94,37.46,101.06,29.03,46.29,112.98,1.73,,,0.95,clean,1.797,confirmed,none,85.99936143039592,84.22733077905492,98.21200510855684,89.5,7
SYRE,88.67,2.82,1.35,20.39,94.11,159.27,475.41,0.48,15.12,4.61,1.69,5.05,4,True,True,True,True,True,2.36,22.67,454.52,2.2,22.3,442.69,6.28,31.12,454.62,0.0005,HYG,0.42,-1.95,stalling,2.093,confirmed,none,89.1070668369519,97.38186462324393,81.54533844189017,89.3,8
ORKA,86.63,5.53,22.22,46.68,97.74,170.97,636.65,4.02,2.1,2.09,1.75,6.51,4,True,True,True,True,True,23.23,48.96,615.77,23.07,48.58,603.93,27.16,57.41,615.86,-0.3679,HYG,0.43,-0.29,clean,1.419,normal,none,98.10557684120903,97.38186462324393,71.96679438058749,89.2,9
ATEX,81.0,2.41,2.32,27.1,99.65,259.52,181.45,0.96,11.66,3.68,2.6,1.82,3,True,True,True,True,True,3.33,29.38,160.56,3.17,29.0,148.73,7.26,37.83,160.66,0.8545,VXUS,0.37,0.21,clean,1.238,normal,none,89.18156662409535,84.22733077905492,93.99744572158365,89.1,10
