ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
AAXJ,Asia ex-Jpn,4.1,10,bullish,2.6,3.08,9.65,10.65,21.4,2.0,1.42,2.0,0.81,,,51.0,,,51.0,,,51.0
ACWI,ACWI,3.1,10,bullish,0.07,0.64,3.59,5.28,9.41,0.76,0.99,1.16,0.08,,,51.0,,,51.0,,,51.0
ACWX,ACWX,2.9,10,bullish,0.3,0.51,4.39,5.24,7.43,0.29,0.88,1.27,-0.01,,,51.0,,,51.0,,,51.0
AFK,Africa,2.1,10,bullish,-2.57,-1.68,2.43,1.05,-3.61,-1.56,-0.4,0.19,-0.73,,,51.0,,,51.0,,,51.0
AGF,AGF,0.0,10,bearish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,,,22.0,,,22.0,,,22.0
AGG,Agg Bond,0.1,10,bullish,-0.57,-0.3,0.89,-0.09,-2.02,-1.68,-0.21,1.23,-0.65,,,72.0,,,72.0,,,72.0
AIA,AIA,4.0,10,bullish,4.59,4.91,13.63,18.04,34.49,2.0,1.94,2.0,1.02,,,51.0,,,51.0,,,51.0
AIQ,AIQ,5.9,10,bullish,2.73,6.24,14.5,21.1,38.54,2.0,2.0,2.0,1.58,,,35.0,,,35.0,,,35.0
AIRR,AIRR,3.1,10,bullish,0.23,0.04,5.66,3.36,9.77,-0.67,-0.24,0.88,-0.35,,,41.0,,,41.0,,,41.0
ALAI,ALAI,5.6,10,bullish,0.5,2.91,10.28,13.52,34.31,1.39,1.25,1.75,0.58,,,15.0,,,15.0,,,15.0
AMG,AMG,4.3,10,bullish,2.89,1.2,5.67,4.73,2.8,-0.98,-0.0,0.74,0.01,,,98.0,,,98.0,,,98.0
AMLP,AMLP,3.4,10,bullish,1.92,-0.19,-4.1,-2.47,-0.06,-0.33,-1.17,-2.0,-0.24,,,47.0,,,47.0,,,47.0
APIE,APIE,3.4,10,bullish,0.29,-0.26,2.7,3.12,3.81,-0.24,0.41,0.73,-0.31,,,28.0,,,28.0,,,28.0
APO,APO,4.8,10,bullish,-3.39,-4.54,-5.18,-3.75,13.26,1.14,-0.39,-0.79,-1.0,,,47.0,,,47.0,,,47.0
ARES,ARES,3.6,10,bullish,-4.18,-2.73,1.67,2.63,5.95,0.54,0.35,0.31,-0.44,,,41.0,,,41.0,,,41.0
ARGT,ARGT,4.6,10,bullish,-3.02,-0.87,7.48,5.42,7.88,0.38,0.46,0.98,-0.21,,,47.0,,,47.0,,,47.0
ARKF,ARKF,1.4,10,bullish,-7.35,-2.7,-1.41,-7.12,-3.71,-0.39,-0.78,-0.25,-0.63,,,35.0,,,35.0,,,35.0
ARKG,ARKG,2.7,10,bullish,-2.08,5.8,20.63,10.92,14.94,0.57,0.76,2.0,0.84,,,40.0,,,40.0,,,40.0
ARKK,ARKK,0.8,10,bullish,-4.62,0.27,5.85,-0.09,4.31,-0.35,-0.35,0.64,-0.11,,,40.0,,,40.0,,,40.0
ARKQ,ARKQ,2.7,10,bullish,-2.83,-0.74,7.11,8.33,13.15,-0.24,0.36,0.79,-0.46,,,40.0,,,40.0,,,40.0
ARKW,ARKW,3.5,10,bullish,-4.2,0.28,3.69,2.53,12.0,0.07,-0.01,0.4,-0.06,,,40.0,,,40.0,,,40.0
ARKX,ARKX,3.0,10,bullish,-4.12,-1.54,6.38,10.24,11.65,-0.29,0.56,0.63,-0.62,,,32.0,,,32.0,,,32.0
ARMG,ARMG,10.0,10,bullish,33.16,78.73,215.54,261.28,752.38,2.0,2.0,2.0,2.0,,,15.0,,,15.0,,,15.0
ARTY,ARTY,6.1,10,bullish,7.18,12.56,25.44,26.1,62.05,2.0,2.0,2.0,2.0,,,35.0,,,35.0,,,35.0
ASEA,ASEA,3.1,10,bullish,1.36,0.75,0.85,3.19,2.98,-0.65,0.55,0.06,0.22,,,47.0,,,47.0,,,47.0
ASHR,ASHR,3.0,10,bullish,0.56,0.7,2.87,3.02,8.46,0.22,0.13,0.62,0.03,,,41.0,,,41.0,,,41.0
AVDE,AVDE,2.9,10,bullish,-0.82,-0.68,1.94,3.07,2.47,-0.98,0.28,0.39,-0.6,,,35.0,,,35.0,,,35.0
AVDV,AVDV,3.0,10,bullish,-1.19,-0.75,1.97,3.98,2.91,-1.3,0.18,0.17,-0.67,,,35.0,,,35.0,,,35.0
AVEM,AVEM,4.1,10,bullish,1.3,1.73,8.54,8.65,17.1,1.61,1.13,2.0,0.35,,,35.0,,,35.0,,,35.0
AVES,AVES,2.8,10,bullish,0.47,0.74,6.0,4.98,9.14,0.33,0.61,1.62,0.06,,,32.0,,,32.0,,,32.0
AVIV,AVIV,3.0,10,bullish,-0.65,-0.46,1.65,3.32,2.26,-1.22,0.29,0.23,-0.53,,,32.0,,,32.0,,,32.0
AVNM,AVNM,3.5,10,bullish,-0.37,-0.04,3.52,4.33,5.88,-0.45,0.5,0.9,-0.32,,,28.0,,,28.0,,,28.0
BAGAX,BAGAX,0.8,10,bullish,2.03,4.69,7.2,10.29,16.35,1.03,0.98,0.88,0.77,,,58.0,,,58.0,,,58.0
BAI,BAI,6.6,10,bullish,3.71,3.88,14.91,18.14,50.98,2.0,1.45,2.0,0.57,,,15.0,,,15.0,,,15.0
BAM,BAM,3.0,10,bullish,-6.89,-7.63,-3.7,-4.94,-2.92,-0.09,-0.55,-0.64,-2.0,,,28.0,,,28.0,,,28.0
BATT,BATT,2.1,10,bullish,0.64,1.34,9.02,4.5,12.4,-0.53,-0.24,1.24,-0.03,,,35.0,,,35.0,,,35.0
BBCA,BBCA,3.1,10,bullish,-0.11,0.77,2.07,1.57,2.03,-1.4,-0.24,0.49,0.16,,,35.0,,,35.0,,,35.0
BBEU,BBEU,2.9,10,bullish,-1.14,-1.46,1.65,2.67,1.41,-0.69,0.36,0.39,-0.89,,,35.0,,,35.0,,,35.0
BBIN,BBIN,2.9,10,bullish,-0.56,-0.61,2.13,3.28,1.93,-0.71,0.52,0.55,-0.48,,,35.0,,,35.0,,,35.0
BBJP,BBJP,2.8,10,bullish,0.68,1.43,3.43,6.13,5.13,-0.15,0.95,0.72,0.37,,,35.0,,,35.0,,,35.0
BEN,BEN,4.6,10,bullish,-2.1,-4.1,-1.36,2.26,14.26,0.36,-0.15,-0.53,-1.35,,,98.0,,,98.0,,,98.0
BIL,BIL,0.0,10,neutral,-0.27,-0.23,-0.15,-0.01,0.0,0.14,-0.05,-0.92,-1.65,,,56.0,,,56.0,,,56.0
BINV,BINV,3.4,10,bullish,-1.51,-1.51,-0.54,0.62,-0.45,-1.44,-0.34,-0.54,-1.01,,,25.0,,,25.0,,,25.0
BITO,BITO,0.9,10,bullish,-11.18,-12.83,-15.08,-18.72,-11.62,0.09,-1.24,-1.6,-2.0,,,32.0,,,32.0,,,32.0
BITQ,BITQ,5.0,10,bullish,-2.62,-1.59,10.69,11.04,31.42,0.54,0.35,0.74,-0.38,,,33.0,,,33.0,,,33.0
BK,BK,2.3,10,bullish,0.16,-0.06,2.44,5.89,17.96,0.88,0.42,0.17,-0.4,,,98.0,,,98.0,,,98.0
BKCH,BKCH,6.8,10,bullish,-3.83,-2.77,10.77,13.82,33.89,0.26,0.25,0.49,-0.48,,,33.0,,,33.0,,,33.0
BKGI,BKGI,4.3,10,bullish,-1.16,-1.85,-1.64,0.13,-0.02,-1.4,-0.6,-1.27,-1.44,,,30.0,,,30.0,,,30.0
BKIE,BKIE,2.8,10,bullish,-0.59,-0.45,2.09,3.12,2.02,-0.76,0.46,0.56,-0.44,,,34.0,,,34.0,,,34.0
BLK,BLK,4.4,10,bullish,-5.35,-7.42,-4.38,-5.83,-5.56,-0.77,-1.05,-1.05,-2.0,,,98.0,,,98.0,,,98.0
BLOK,BLOK,4.3,10,bullish,-2.72,-0.29,8.84,7.72,19.44,0.35,0.39,1.0,-0.2,,,37.0,,,37.0,,,37.0
BN,BN,0.5,10,bullish,-3.75,-4.63,-0.9,-2.45,1.6,-0.35,-0.58,-0.33,-1.41,,,98.0,,,98.0,,,98.0
BND,Total Bond,0.1,10,bullish,-0.54,-0.3,0.84,-0.07,-1.95,-1.65,-0.18,1.2,-0.66,,,56.0,,,56.0,,,56.0
BNDX,BNDX,0.1,10,bullish,-0.62,-0.39,0.92,0.4,-1.52,-0.83,0.64,1.5,-0.71,,,43.0,,,43.0,,,43.0
BNO,BNO,4.3,10,bullish,6.62,5.48,-8.28,-10.29,38.66,0.63,-1.22,-1.27,0.67,,,47.0,,,47.0,,,47.0
BOTZ,BOTZ,3.2,10,bullish,0.3,0.5,3.55,4.92,8.46,0.26,0.37,0.53,-0.02,,,40.0,,,40.0,,,40.0
BUZZ,BUZZ,5.4,10,bullish,-2.22,1.28,11.22,14.04,24.58,0.82,1.09,1.48,0.09,,,33.0,,,33.0,,,33.0
BWX,BWX,0.2,10,bullish,-1.26,-0.68,0.69,-1.08,-3.01,-1.01,-0.49,0.67,-0.6,,,51.0,,,51.0,,,51.0
BX,BX,0.4,10,bullish,-5.72,-6.54,-3.48,-10.41,-3.38,-0.05,-0.85,-0.44,-1.34,,,56.0,,,56.0,,,56.0
CCNR,CCNR,2.3,10,bullish,1.29,1.71,1.63,1.96,5.17,-1.52,-0.63,-0.16,0.3,,,15.0,,,15.0,,,15.0
CEF,CEF,3.2,10,bullish,-2.79,-0.75,-0.79,-0.92,-12.35,-1.82,-0.65,-0.44,-0.36,,,98.0,,,98.0,,,98.0
CEV,CEV,0.4,10,bullish,-0.97,0.0,2.4,1.09,-3.58,-1.12,0.2,1.06,-0.1,,,98.0,,,98.0,,,98.0
CG,CG,3.0,10,bearish,-7.02,-7.49,-7.21,-15.47,-19.54,-1.0,-1.37,-1.03,-1.53,,,45.0,,,45.0,,,45.0
