target_date,window,similar_date,correlation
2026-03-03,25Y,2026-03-02,0.6602
2026-03-03,25Y,2026-02-27,0.4514
2026-03-03,25Y,2024-04-16,0.4415
2026-03-03,25Y,2022-03-07,0.4384
2026-03-03,25Y,2022-03-08,0.4351
2026-03-03,25Y,2007-03-01,0.435
2026-03-03,25Y,2024-04-15,0.4051
2026-03-03,25Y,2007-03-02,0.4051
2026-03-03,25Y,2022-03-04,0.3939
2026-03-03,25Y,2008-06-12,0.3938
2026-03-03,25Y,2015-12-11,0.3813
2026-03-03,25Y,2024-04-12,0.3812
2026-03-03,25Y,2018-03-23,0.378
2026-03-03,25Y,2022-02-24,0.3666
2026-03-03,25Y,2024-04-17,0.3647
2026-03-03,25Y,2024-04-18,0.3618
2026-03-03,25Y,2015-12-14,0.3607
2026-03-03,25Y,2018-10-10,0.3589
2026-03-03,25Y,2007-02-28,0.3563
2026-03-03,25Y,2010-05-07,0.3534
2026-03-03,25Y,2014-01-27,0.3517
2026-03-03,25Y,2009-10-28,0.3511
2026-03-03,25Y,2010-05-05,0.3448
2026-03-03,25Y,2012-05-18,0.3423
2026-03-03,25Y,2026-02-26,0.3408
2026-03-03,25Y,2010-05-06,0.3396
2026-03-03,25Y,2008-06-11,0.3379
2026-03-03,25Y,2022-03-11,0.334
2026-03-03,25Y,2007-03-05,0.334
2026-03-03,25Y,2026-02-23,0.3326
2026-03-03,25Y,2007-07-30,0.3326
2026-03-03,25Y,2012-05-17,0.3322
2026-03-03,25Y,2007-02-27,0.3319
2026-03-03,25Y,2021-04-30,0.3313
2026-03-03,25Y,2018-10-09,0.3281
2026-03-03,25Y,2021-05-12,0.3254
2026-03-03,25Y,2024-08-05,0.3253
2026-03-03,25Y,2024-08-06,0.3249
2026-03-03,25Y,2022-03-01,0.3243
2026-03-03,25Y,2026-02-19,0.3241
2026-03-03,25Y,2022-01-26,0.3238
2026-03-03,25Y,2023-09-26,0.3235
2026-03-03,25Y,2010-04-28,0.3231
2026-03-03,25Y,2010-04-27,0.3223
2026-03-03,25Y,2006-05-17,0.3221
2026-03-03,25Y,2022-01-27,0.3214
2026-03-03,25Y,2015-08-21,0.3213
2026-03-03,25Y,2022-03-03,0.321
2026-03-03,25Y,2016-06-27,0.3197
2026-03-03,25Y,2023-09-27,0.3191
2026-03-03,25Y,2015-07-06,0.3189
2026-03-03,25Y,2018-03-22,0.3182
2026-03-03,25Y,2021-03-24,0.3175
2026-03-03,25Y,2015-08-20,0.3174
2026-03-03,25Y,2018-10-11,0.317
2026-03-03,25Y,2024-08-07,0.3164
2026-03-03,25Y,2007-06-07,0.3157
2026-03-03,25Y,2010-05-10,0.3155
2026-03-03,25Y,2015-07-09,0.3153
2026-03-03,25Y,2017-11-15,0.3153
2026-03-03,25Y,2014-01-29,0.3149
