ticker,composite_score,sustainability_score,extension_score,is_safe,pct_above_sma9,longest_run_days,positive_months,sma21_crosses,gain_last_1wk,gain_last_1mo,gain_last_3mo,gain_last_12mo,recency_ratio,extension_from_sma29_pct,regime,days_in_regime,current_price,dist_from_sma9_pct,dist_from_sma21_pct,dist_from_sma29_pct
WDC,1.082,1.0,0.8085,False,0.8015873015873016,31,11,7,0.10869191419851276,0.4731265707105323,0.9646176112126754,10.696825396825398,0.7545300313026758,0.33680692394650674,TRENDING,28,515.83,12.427257822735518,24.643069190726717,33.68069239465068
CIEN,1.0382,1.0,0.9357,False,0.7261904761904762,22,12,8,0.06740706746213854,0.21164826005417803,0.9466688985604288,6.779903666042281,0.4051313931012609,0.1687539463552139,TRENDING,8,581.47,7.532491549628613,12.886546472477459,16.87539463552139
TERN,1.0357,1.0,1.0,False,0.7142857142857143,40,11,5,0.0005668934240363743,0.006271379703534974,0.4683860232945092,15.045454545454547,0.004567363185167817,0.0027230341260824653,TRENDING,16,52.95,0.05458859098449278,0.30761181373699603,0.27230341260824653
FIX,1.0329,1.0,0.9121,False,0.7222222222222222,28,10,11,0.03341737662918609,0.24890497048181315,0.6012381559982041,3.674806843267108,0.9874646617029006,0.19632388093500744,TRENDING,28,2032.98,6.19497070714927,13.831186473758155,19.632388093500744
EFXT,1.0288,1.0,0.9899,True,0.7063492063492064,23,10,8,-0.03958258366318812,0.20062977957714812,0.46407021393307746,2.907759882869693,0.982531815402289,0.1101533253969393,PULLBACK,1,26.69,-1.8749999999999927,5.345362277981384,11.01533253969393
ENLT,1.0197,1.0,0.9587,False,0.6984126984126984,21,12,12,0.033847850055126694,0.2411647915287889,0.5138844042621893,4.1578657865786575,0.825685672779691,0.14313278740898908,TRENDING,2,93.77,3.8810930576070866,8.512150768722103,14.313278740898907
GLW,1.0194,1.0,0.8663,False,0.7103174603174603,34,10,12,0.27939543491671803,0.1839356054118857,0.6189695550351288,3.600488021295474,0.6956286055977166,0.2543008790498337,TRENDING,4,207.39,20.051326249710566,22.07892317352109,25.430087904983367
ERAS,1.0179,1.0,1.0,False,0.6904761904761905,45,9,13,0.04504504504504503,-0.35990190067443284,-0.12635983263598327,6.510791366906475,-0.3488832149644059,-0.33640189374013685,TRENDING,1,10.44,2.3752451514491053,-31.521739130434778,-33.64018937401367
VIAV,1.0155,1.0,0.8869,False,0.7023809523809523,24,10,11,0.01778765981100605,0.3242526518804243,1.0098792535675085,4.977149075081611,0.9752401922766749,0.22750495095281764,TRENDING,9,54.93,5.205252069545244,16.29381697936304,22.750495095281785
AXTI,1.0128,1.0,0.6517,False,0.7301587301587301,29,11,7,0.1697814969781497,0.8935881998795907,4.166735112936345,99.648,0.19482043442889554,0.6345402576922388,TRENDING,8,125.81,23.712387736817952,46.191132285320634,63.454025769223875
LITE,1.0114,1.0,0.9057,False,0.6944444444444444,29,12,9,0.05885014478764483,0.20880874216579803,0.8767308823267335,15.233852320024663,0.17747229805511175,0.20408613859941768,TRENDING,1,1053.09,11.831774642303413,17.67282800366507,20.408613859941767
COHR,1.0106,1.0,0.8975,False,0.6944444444444444,36,10,12,0.13093855181246838,0.23303997661806242,0.6626089241143758,4.380331585659629,0.7393025727751719,0.21425365538429633,TRENDING,2,379.69,13.961321563278483,14.855708149313312,21.425365538429634
NESR,1.0089,1.0,1.0,False,0.6785714285714286,28,10,10,0.04178615321589518,0.09564842740198176,0.2338670548277535,3.088424437299036,0.3747246024921606,0.07581327498176516,TRENDING,1,25.43,4.4496166484118245,5.618844191289903,7.581327498176515
AEIS,1.006,1.0,1.0,True,0.6746031746031746,19,9,12,0.02702311720626116,-0.06325539663271218,0.2721115252293578,2.149689440993789,-0.28072799237327417,-0.03125923416429037,BREAKDOWN,5,354.97,-2.9538543789888645,-4.987464423051184,-3.125923416429037
BELFB,1.006,1.0,0.9108,False,0.6865079365079365,28,11,7,0.01870982939058452,0.2723490102130879,0.2763185631771998,3.164099037138927,1.2734685369409884,0.19790170000777757,TRENDING,8,302.73,5.619044665493387,13.384449105384826,19.790170000777756
PVLA,1.006,1.0,1.0,False,0.6746031746031746,23,8,11,-0.05700162199737391,-0.053565891472868166,0.5070978891494877,4.361879666227493,-0.12555974456162702,-0.029323631897400164,BREAKDOWN,3,122.09,-2.022309605970625,-3.566028510174139,-2.932363189740016
SNDK,1.0054,1.0,0.6969,False,0.7142857142857143,26,10,6,0.10043233403492802,0.6247349081364828,1.857174507052655,40.005829358770534,0.31698648950438063,0.5349275462940003,TRENDING,14,1547.56,17.340733663921874,39.54349930053834,53.49275462940003
CECO,1.0043,1.0,0.9236,False,0.6825396825396826,17,9,10,-0.07154249259512424,0.21896500149566256,0.10899442100966117,2.2586965213914434,1.434918607694218,0.18274942326265686,TRENDING,13,81.5,2.1900860988046515,13.801839181344869,18.274942326265688
LUNMF,1.003,1.0,1.0,True,0.6706349206349206,28,10,11,0.1494345718901453,-0.004895104895104918,0.12223974763406953,2.324766355140187,-0.022286625644199632,0.056949300139588106,TRENDING,4,28.46,9.382072853055464,4.414822061880884,5.694930013958797
LRCX,1.0016,1.0,0.9568,True,0.6746031746031746,24,9,12,0.07342277012327769,0.10747418823881505,0.3064295485636115,2.928476645435244,0.4531867559751284,0.1451725205013153,TRENDING,6,296.05,7.8074360001456595,10.445616141949094,14.51725205013153
