target_date,window,similar_date,correlation
2026-03-30,25Y,2026-03-27,0.9279
2026-03-30,25Y,2026-03-26,0.8595
2026-03-30,25Y,2026-03-25,0.79
2026-03-30,25Y,2026-03-24,0.7847
2026-03-30,25Y,2026-03-20,0.7459
2026-03-30,25Y,2026-03-23,0.7265
2026-03-30,25Y,2026-03-18,0.718
2026-03-30,25Y,2022-05-12,0.6819
2026-03-30,25Y,2026-03-13,0.6784
2026-03-30,25Y,2022-05-09,0.6779
2026-03-30,25Y,2026-03-19,0.6584
2026-03-30,25Y,2026-03-12,0.6441
2026-03-30,25Y,2025-01-02,0.6372
2026-03-30,25Y,2025-01-13,0.6369
2026-03-30,25Y,2022-05-13,0.6363
2026-03-30,25Y,2026-03-16,0.6266
2026-03-30,25Y,2020-03-20,0.6183
2026-03-30,25Y,2023-10-13,0.617
2026-03-30,25Y,2021-10-01,0.6168
2026-03-30,25Y,2026-03-17,0.6165
2026-03-30,25Y,2020-03-18,0.6098
2026-03-30,25Y,2024-12-31,0.6097
2026-03-30,25Y,2004-05-17,0.6073
2026-03-30,25Y,2022-05-06,0.604
2026-03-30,25Y,2021-09-30,0.6034
2026-03-30,25Y,2008-07-02,0.6027
2026-03-30,25Y,2022-05-16,0.6021
2026-03-30,25Y,2025-01-10,0.6007
2026-03-30,25Y,2022-05-11,0.599
2026-03-30,25Y,2021-10-05,0.598
2026-03-30,25Y,2022-05-02,0.5978
2026-03-30,25Y,2004-05-06,0.5954
2026-03-30,25Y,2022-04-29,0.5948
2026-03-30,25Y,2020-03-17,0.5944
2026-03-30,25Y,2021-10-06,0.5926
2026-03-30,25Y,2004-05-18,0.5911
2026-03-30,25Y,2014-09-30,0.591
2026-03-30,25Y,2014-10-01,0.5907
2026-03-30,25Y,2020-03-16,0.5897
2026-03-30,25Y,2021-09-29,0.5893
2026-03-30,25Y,2018-02-09,0.5892
2026-03-30,25Y,2008-06-30,0.5891
2026-03-30,25Y,2018-03-27,0.5889
2026-03-30,25Y,2022-05-05,0.5887
2026-03-30,25Y,2013-06-24,0.5885
2026-03-30,25Y,2020-03-19,0.5877
2026-03-30,25Y,2018-02-08,0.5872
2026-03-30,25Y,2008-07-03,0.583
2026-03-30,25Y,2020-03-12,0.583
2026-03-30,25Y,2014-10-07,0.5823
2026-03-30,25Y,2008-10-27,0.5808
2026-03-30,25Y,2011-10-03,0.5796
2026-03-30,25Y,2016-01-20,0.5789
2026-03-30,25Y,2025-01-14,0.5784
2026-03-30,25Y,2016-01-19,0.5783
2026-03-30,25Y,2022-05-10,0.5779
2026-03-30,25Y,2014-10-02,0.5778
2026-03-30,25Y,2020-03-23,0.5777
2026-03-30,25Y,2008-07-01,0.5751
2026-03-30,25Y,2020-03-13,0.5751
2026-03-30,25Y,2008-07-07,0.5739
2026-03-30,25Y,2008-10-10,0.5731
2026-03-30,25Y,2016-01-21,0.573
2026-03-30,25Y,2008-10-22,0.5714
2026-03-30,25Y,2004-05-14,0.5714
2026-03-30,25Y,2008-10-08,0.5692
2026-03-30,25Y,2007-08-16,0.5679
2026-03-30,25Y,2008-10-09,0.5669
2026-03-30,25Y,2008-10-07,0.5665
2026-03-30,25Y,2010-06-01,0.5653
2026-03-30,25Y,2004-05-05,0.5651
2026-03-30,25Y,2025-04-08,0.5646
2026-03-30,25Y,2002-09-30,0.5637
2026-03-30,25Y,2022-09-26,0.5628
2026-03-30,25Y,2014-09-29,0.5627
2026-03-30,25Y,2004-05-03,0.5622
2026-03-30,25Y,2021-12-06,0.5622
2026-03-30,25Y,2021-09-28,0.5611
2026-03-30,25Y,2010-05-28,0.561
2026-03-30,25Y,2005-04-05,0.5608
2026-03-30,25Y,2010-02-11,0.5595
2026-03-30,25Y,2018-02-13,0.5583
2026-03-30,25Y,2020-03-11,0.5577
2026-03-30,25Y,2023-10-27,0.557
2026-03-30,25Y,2008-10-15,0.5567
2026-03-30,25Y,2010-05-26,0.5562
2026-03-30,25Y,2021-10-08,0.5553
2026-03-30,25Y,2004-05-21,0.5552
2026-03-30,25Y,2004-05-07,0.5552
2026-03-30,25Y,2025-04-07,0.5547
2026-03-30,25Y,2004-05-20,0.5544
2026-03-30,25Y,2010-02-04,0.5531
2026-03-30,25Y,2005-04-01,0.5529
2026-03-30,25Y,2013-06-25,0.5518
2026-03-30,25Y,2007-08-15,0.5507
2026-03-30,25Y,2023-08-22,0.5506
2026-03-30,25Y,2023-10-03,0.5499
2026-03-30,25Y,2005-04-04,0.5494
2026-03-30,25Y,2022-05-19,0.5491
2026-03-30,25Y,2022-05-18,0.5482
2026-03-30,5Y,2026-03-27,0.9279
2026-03-30,5Y,2026-03-26,0.8595
2026-03-30,5Y,2026-03-25,0.79
2026-03-30,5Y,2026-03-24,0.7847
2026-03-30,5Y,2026-03-20,0.7459
2026-03-30,5Y,2026-03-23,0.7265
2026-03-30,5Y,2026-03-18,0.718
2026-03-30,5Y,2022-05-12,0.6819
2026-03-30,5Y,2026-03-13,0.6784
2026-03-30,5Y,2022-05-09,0.6779
2026-03-30,5Y,2026-03-19,0.6584
2026-03-30,5Y,2026-03-12,0.6441
2026-03-30,5Y,2025-01-02,0.6372
2026-03-30,5Y,2025-01-13,0.6369
2026-03-30,5Y,2022-05-13,0.6363
2026-03-30,5Y,2026-03-16,0.6266
2026-03-30,5Y,2023-10-13,0.617
2026-03-30,5Y,2021-10-01,0.6168
2026-03-30,5Y,2026-03-17,0.6165
2026-03-30,5Y,2024-12-31,0.6097
2026-03-30,5Y,2022-05-06,0.604
2026-03-30,5Y,2021-09-30,0.6034
2026-03-30,5Y,2022-05-16,0.6021
2026-03-30,5Y,2025-01-10,0.6007
2026-03-30,5Y,2022-05-11,0.599
2026-03-30,5Y,2021-10-05,0.598
2026-03-30,5Y,2022-05-02,0.5978
2026-03-30,5Y,2022-04-29,0.5948
2026-03-30,5Y,2021-10-06,0.5926
2026-03-30,5Y,2021-09-29,0.5893
2026-03-30,5Y,2022-05-05,0.5887
2026-03-30,5Y,2025-01-14,0.5784
2026-03-30,5Y,2022-05-10,0.5779
2026-03-30,5Y,2025-04-08,0.5646
2026-03-30,5Y,2022-09-26,0.5628
2026-03-30,5Y,2021-12-06,0.5622
2026-03-30,5Y,2021-09-28,0.5611
2026-03-30,5Y,2023-10-27,0.557
2026-03-30,5Y,2021-10-08,0.5553
2026-03-30,5Y,2025-04-07,0.5547
2026-03-30,5Y,2023-08-22,0.5506
2026-03-30,5Y,2023-10-03,0.5499
2026-03-30,5Y,2022-05-19,0.5491
2026-03-30,5Y,2022-05-18,0.5482
2026-03-30,5Y,2021-10-07,0.5354
2026-03-30,5Y,2022-05-20,0.5317
2026-03-30,5Y,2022-01-27,0.5298
2026-03-30,5Y,2024-12-30,0.5296
