ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,health_score,health_verdict,spread_support,source_count,sources,sector
STX,XLK,11.0,91.2,139.0,77.8,,,,,,,6.0,,,85.9,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
RVMD,--,35.0,85.7,89.0,79.7,,,,,,,5.0,,,85.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Healthcare
CASY,XLB,43.0,84.1,12.0,88.9,,,,,,,5.0,,,84.1,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Consumer Cyclical
VLUE,XLK,60.0,81.4,76.0,80.3,,,,,,4.2,,,,83.7,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
HAL,XLE,74.0,80.2,109.0,79.1,,,,,,,6.0,,,80.3,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Energy
BK,XLF,123.0,75.4,46.0,82.9,,,,,,2.5,2.0,,,80.6,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",Financial Services
RBC,XLI,125.0,75.1,37.0,84.2,,,,,,,5.0,,,86.0,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Industrials
SMH,XLK,141.0,73.6,96.0,79.6,,,,,,3.5,3.0,,,83.3,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",Financial Services
STT,XLF,147.0,73.4,106.0,79.2,,,,,,2.9,1.0,,,81.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",Financial Services
LBRT,XLE,3.0,93.6,89.0,79.7,,,,,,,,,,88.2,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
CGON,XLV,7.0,92.2,112.0,78.8,,,,,,,,,,86.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
MTSI,XLK,7.0,92.2,,,,,,,,,6.0,,,86.0,HEALTHY,bullish,3,"['ranker', 'stock_secrot', 'pullback_health']",Technology
WDC,XLK,10.0,91.5,69.0,81.0,,,,,,,5.0,,,79.5,CAUTION,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
WTTR,XLE,12.0,90.3,126.0,78.4,,,,,,,,,,85.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
MU,XLK,13.0,89.4,,,,,,,,,6.0,,,89.4,HEALTHY,bullish,3,"['ranker', 'stock_secrot', 'pullback_health']",Technology
CVE,XLE,14.0,89.1,3.0,92.2,,,,,,,3.0,,,80.9,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
FUWAY,XLV,16.0,88.9,33.0,84.8,,,,,,,,,,84.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
HWM,XLI,18.0,88.4,63.0,81.4,,,,,,,2.0,,,91.2,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
FPLSF,XLI,20.0,87.9,61.0,81.5,,,,,,,,,,86.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
IRDM,XLRE,22.0,87.5,134.0,78.1,,,,,,,,,,85.9,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",
ATEX,XLK,22.0,87.5,67.0,81.1,,,,,,,,,,81.7,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
SEI,QQQ,30.0,86.7,73.0,80.4,,,,,,,,,,85.3,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
NBR,XLE,32.0,86.5,52.0,82.2,,,,,,,,,,81.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
MKSI,SPY,38.0,85.2,,,,,,,,,6.0,,,87.0,HEALTHY,bullish,3,"['ranker', 'stock_secrot', 'pullback_health']",Technology
AXSM,XLV,39.0,84.8,57.0,81.9,,,,,,,,,,83.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TERN,--,42.0,84.2,51.0,82.5,,,,,,,,,,86.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
LQDA,--,43.0,84.1,38.0,84.0,,,,,,,,,,84.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
NWPX,XLI,46.0,83.8,33.0,84.8,,,,,,,,,,80.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
CSCO,XLK,57.0,82.8,48.0,82.6,,,,,,,1.0,,,89.2,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",Technology
ASX,XLK,63.0,81.3,148.0,77.4,,,,,,,4.0,,,85.7,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",Technology
SU,XLE,66.0,80.9,9.0,89.2,,,,,,,5.0,,,60.0,CAUTION,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Energy
TXN,XLI,70.0,80.4,63.0,81.4,,,,,,,4.0,,,86.1,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",Technology
KO,XLP,70.0,80.4,132.0,78.2,,,,,,,2.0,,,81.4,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",Consumer Defensive
BEN,XLF,77.0,79.7,,,,,,,,3.8,3.0,,,90.1,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",Financial Services
PSI,XLK,77.0,79.7,,,,,,,,4.2,,,,81.2,HEALTHY,bullish,3,"['ranker', 'secrot', 'pullback_health']",
