ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,health_score,health_verdict,spread_support,source_count,sources,sector
SMFG,VGK,13.0,86.0,69.0,81.5,,,,,,,5.0,,,81.5,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Financial Services
MUFG,VGK,14.0,85.6,59.0,81.8,,,,,,,5.0,,,89.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Financial Services
EC,XLE,34.0,80.4,89.0,80.3,,,,,,,7.0,,,83.8,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Energy
CFG,XLF,63.0,75.7,94.0,80.0,,,,,,,5.0,,,80.5,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Financial Services
VTV,XLI,98.0,72.6,83.0,80.6,,,,,,2.0,,,,87.5,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
SNDK,XLK,1.0,94.0,,,,,,,,,6.0,,,84.0,HEALTHY,bullish,3,"['ranker', 'stock_secrot', 'pullback_health']",Technology
AXSM,XLV,2.0,91.9,3.0,93.3,,,,,,,,,,89.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
EACO,--,3.0,91.8,2.0,93.6,,,,,,,,,,89.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
LQDA,XLV,4.0,91.1,36.0,84.0,,,,,,,,,,87.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
CASY,XLP,5.0,90.5,5.0,92.1,,,,,,,5.0,,,60.0,CAUTION,bearish,3,"['ranker', 'ranker_long', 'stock_secrot']",Consumer Cyclical
CALY,HYG,7.0,87.6,96.0,79.8,,,,,,,,,,80.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
MUSA,XLE,11.0,86.4,4.0,92.3,,,,,,,,,,87.9,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
MNST,XLP,16.0,84.9,35.0,84.1,,,,,,,4.0,,,89.2,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",Consumer Defensive
SCHL,--,16.0,84.9,16.0,87.0,,,,,,,,,,88.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TRGP,XLE,18.0,84.3,24.0,85.7,,,,,,,4.0,,,80.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
JBHT,XLI,19.0,84.0,80.0,80.7,,,,,,,4.0,,,85.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
ROST,XLI,21.0,83.9,31.0,84.3,,,,,,,3.0,,,88.2,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",Consumer Cyclical
MSGS,VXUS,22.0,83.4,85.0,80.4,,,,,,,,,,85.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
CHRW,VGK,23.0,82.8,111.0,79.0,,,,,,,3.0,,,82.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
AXGN,XLRE,27.0,82.3,37.0,83.9,,,,,,,,,,82.1,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
TTMI,VXUS,28.0,82.1,62.0,81.7,,,,,,,,,,84.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TOELY,VXUS,32.0,80.6,146.0,77.7,,,,,,,,,,80.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TD,VGK,35.0,80.2,92.0,80.1,,,,,,,3.0,,,87.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Financial Services
R,XLI,36.0,79.9,16.0,87.0,,,,,,,,,,89.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TJX,XLF,36.0,79.9,66.0,81.6,,,,,,,1.0,,,82.6,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",Consumer Cyclical
DK,XLE,40.0,79.7,11.0,88.5,,,,,,,,,,80.2,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
GL,XLF,41.0,79.6,48.0,82.7,,,,,,,0.0,,,88.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Financial Services
VLO,XLE,42.0,79.1,9.0,89.8,,,,,,,4.0,,,83.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
BMO,VGK,44.0,78.6,51.0,82.5,,,,,,,3.0,,,89.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Financial Services
CSX,XLI,46.0,78.2,146.0,77.7,,,,,,,4.0,,,89.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
XPO,XLI,48.0,77.9,53.0,82.3,,,,,,,2.0,,,92.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
FDX,XLI,53.0,77.4,100.0,79.5,,,,,,,3.0,,,88.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
DFTX,XLV,56.0,76.6,122.0,78.6,,,,,,,,,,84.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
