target_date,section,similar_date,score,event,fwd_5d,fwd_10d,fwd_21d
2026-03-30,25Y_broad,2026-03-27,0.9279,,,,
2026-03-30,25Y_broad,2026-03-26,0.8595,,,,
2026-03-30,25Y_broad,2026-03-25,0.79,,,,
2026-03-30,25Y_broad,2026-03-24,0.7848,,,,
2026-03-30,25Y_broad,2026-03-20,0.7459,,,,
2026-03-30,25Y_broad,2026-03-23,0.7265,,,,
2026-03-30,25Y_broad,2026-03-18,0.718,,,,
2026-03-30,25Y_broad,2022-05-12,0.6819,,,,
2026-03-30,25Y_broad,2026-03-13,0.6784,,,,
2026-03-30,25Y_broad,2022-05-09,0.6779,,,,
2026-03-30,25Y_broad,2026-03-19,0.6584,,,,
2026-03-30,25Y_broad,2026-03-12,0.6441,,,,
2026-03-30,25Y_broad,2025-01-02,0.6372,,,,
2026-03-30,25Y_broad,2025-01-13,0.6369,,,,
2026-03-30,25Y_broad,2022-05-13,0.6363,,,,
2026-03-30,25Y_broad,2026-03-16,0.6266,,,,
2026-03-30,25Y_broad,2020-03-20,0.6183,,,,
2026-03-30,25Y_broad,2023-10-13,0.617,,,,
2026-03-30,25Y_broad,2021-10-01,0.6168,,,,
2026-03-30,25Y_broad,2026-03-17,0.6165,,,,
2026-03-30,25Y_broad,2020-03-18,0.6098,,,,
2026-03-30,25Y_broad,2024-12-31,0.6097,,,,
2026-03-30,25Y_broad,2004-05-17,0.6073,,,,
2026-03-30,25Y_broad,2022-05-06,0.604,,,,
2026-03-30,25Y_broad,2021-09-30,0.6034,,,,
2026-03-30,25Y_broad,2008-07-02,0.6027,,,,
2026-03-30,25Y_broad,2022-05-16,0.6021,,,,
2026-03-30,25Y_broad,2025-01-10,0.6007,,,,
2026-03-30,25Y_broad,2022-05-11,0.599,,,,
2026-03-30,25Y_broad,2021-10-05,0.598,,,,
2026-03-30,25Y_broad,2022-05-02,0.5978,,,,
2026-03-30,25Y_broad,2004-05-06,0.5954,,,,
2026-03-30,25Y_broad,2022-04-29,0.5948,,,,
2026-03-30,25Y_broad,2020-03-17,0.5944,,,,
2026-03-30,25Y_broad,2021-10-06,0.5926,,,,
2026-03-30,25Y_broad,2004-05-18,0.5911,,,,
2026-03-30,25Y_broad,2014-09-30,0.591,,,,
2026-03-30,25Y_broad,2014-10-01,0.5907,,,,
2026-03-30,25Y_broad,2020-03-16,0.5897,,,,
2026-03-30,25Y_broad,2021-09-29,0.5893,,,,
2026-03-30,25Y_broad,2018-02-09,0.5892,,,,
2026-03-30,25Y_broad,2008-06-30,0.5891,,,,
2026-03-30,25Y_broad,2018-03-27,0.5889,,,,
2026-03-30,25Y_broad,2022-05-05,0.5887,,,,
2026-03-30,25Y_broad,2013-06-24,0.5885,,,,
2026-03-30,25Y_broad,2020-03-19,0.5877,,,,
2026-03-30,25Y_broad,2018-02-08,0.5872,,,,
2026-03-30,25Y_broad,2008-07-03,0.583,,,,
2026-03-30,25Y_broad,2020-03-12,0.583,,,,
2026-03-30,25Y_broad,2014-10-07,0.5823,,,,
2026-03-30,25Y_broad,2008-10-27,0.5808,,,,
2026-03-30,25Y_broad,2011-10-03,0.5796,,,,
2026-03-30,25Y_broad,2016-01-20,0.5789,,,,
2026-03-30,25Y_broad,2025-01-14,0.5783,,,,
2026-03-30,25Y_broad,2016-01-19,0.5783,,,,
2026-03-30,25Y_broad,2022-05-10,0.5779,,,,
2026-03-30,25Y_broad,2014-10-02,0.5777,,,,
2026-03-30,25Y_broad,2020-03-23,0.5777,,,,
2026-03-30,25Y_broad,2008-07-01,0.5751,,,,
2026-03-30,25Y_broad,2020-03-13,0.5751,,,,
2026-03-30,25Y_broad,2008-07-07,0.5739,,,,
2026-03-30,25Y_broad,2008-10-10,0.5731,,,,
2026-03-30,25Y_broad,2016-01-21,0.573,,,,
2026-03-30,25Y_broad,2008-10-22,0.5714,,,,
2026-03-30,25Y_broad,2004-05-14,0.5714,,,,
2026-03-30,25Y_broad,2008-10-08,0.5692,,,,
2026-03-30,25Y_broad,2007-08-16,0.5679,,,,
2026-03-30,25Y_broad,2008-10-09,0.5669,,,,
