ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
AU,IAU,4.0,93.1,3.0,93.0,,,,,,,5.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Basic Materials
SII,IAU,6.0,92.1,15.0,89.0,,,,,,5.3,,none,3,"['ranker', 'ranker_long', 'secrot']",
SCCO,IAU,12.0,90.4,82.0,82.6,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Basic Materials
MTSI,XLK,16.0,89.5,128.0,79.1,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
BKR,XLE,44.0,84.0,149.0,78.3,,,,,,,6.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Energy
CW,XLI,52.0,82.8,146.0,78.5,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
RBC,XLI,55.0,82.1,68.0,83.7,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
EWY,VXUS,79.0,78.9,22.0,87.6,,,,,,5.0,,none,3,"['ranker', 'ranker_long', 'secrot']",
FLKR,VXUS,87.0,77.8,149.0,78.3,,,,,,4.5,,none,3,"['ranker', 'ranker_long', 'secrot']",
REMX,IAU,97.0,76.4,91.0,81.5,,,,,,5.7,,none,3,"['ranker', 'ranker_long', 'secrot']",
GOEX,IAU,115.0,74.4,24.0,87.5,,,,,,3.4,,none,3,"['ranker', 'ranker_long', 'secrot']",
KGC,IAU,122.0,73.7,35.0,86.7,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Basic Materials
LHX,XLI,124.0,73.4,110.0,80.5,,,,,,,8.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
ULTA,--,129.0,73.1,85.0,82.1,,,,,,,5.0,bearish,3,"['ranker', 'ranker_long', 'stock_secrot']",Consumer Cyclical
NVS,XLV,143.0,72.4,58.0,84.5,,,,,,,6.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Healthcare
PHYS,--,,,44.0,85.6,,,,,,3.2,6.0,none,3,"['ranker_long', 'secrot', 'stock_secrot']",Financial Services
EFXT,--,1.0,96.4,137.0,78.7,,,,,,,,none,2,"['ranker', 'ranker_long']",
GLTO,--,2.0,94.6,134.0,78.9,,,,,,,,none,2,"['ranker', 'ranker_long']",
LINC,--,3.0,93.6,8.0,90.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
HYMC,IAU,5.0,92.4,39.0,86.0,,,,,,,,none,2,"['ranker', 'ranker_long']",
EZPW,XLI,7.0,91.9,14.0,89.1,,,,,,,,none,2,"['ranker', 'ranker_long']",
TER,VXUS,9.0,91.5,,,,,,,,,5.0,bullish,2,"['ranker', 'stock_secrot']",Technology
SLGL,--,10.0,91.3,36.0,86.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
FRO,--,11.0,90.5,55.0,84.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
FTI,XLE,13.0,89.8,4.0,92.9,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Energy
FORM,XLI,14.0,89.7,52.0,84.9,,,,,,,,none,2,"['ranker', 'ranker_long']",
