target_date,window,similar_date,correlation
2026-04-01,5Y,2025-01-06,0.507
2026-04-01,5Y,2025-01-13,0.5039
2026-04-01,5Y,2025-01-10,0.5021
2026-04-01,5Y,2022-05-23,0.4991
2026-04-01,5Y,2022-02-14,0.4963
2026-04-01,5Y,2025-01-03,0.4962
2026-04-01,5Y,2023-10-10,0.4899
2026-04-01,5Y,2026-03-17,0.4874
2026-04-01,5Y,2022-02-11,0.4871
2026-04-01,5Y,2025-01-15,0.4854
2026-04-01,5Y,2022-05-17,0.4853
2026-04-01,5Y,2022-05-10,0.4701
2026-04-01,5Y,2025-01-02,0.4692
2026-04-01,5Y,2023-10-12,0.467
2026-04-01,5Y,2022-06-29,0.4663
2026-04-01,5Y,2022-02-04,0.4634
2026-04-01,5Y,2022-02-07,0.4626
2026-04-01,5Y,2021-10-04,0.4608
2026-04-01,5Y,2026-03-18,0.4601
2026-04-01,5Y,2021-10-13,0.4532
2026-04-01,5Y,2021-10-01,0.4491
2026-04-01,5Y,2022-02-15,0.4473
2026-04-01,5Y,2022-05-06,0.4463
2026-04-01,5Y,2021-10-06,0.4462
2026-04-01,5Y,2021-10-14,0.4447
2026-04-01,5Y,2022-05-24,0.4446
2026-04-01,5Y,2023-10-17,0.443
2026-04-01,5Y,2021-10-08,0.4422
2026-04-01,5Y,2023-10-19,0.4415
2026-04-01,5Y,2022-05-25,0.4408
2026-04-01,5Y,2022-05-11,0.4401
2026-04-01,5Y,2022-06-28,0.44
2026-04-01,5Y,2022-06-30,0.44
2026-04-01,5Y,2025-01-16,0.4385
2026-04-01,5Y,2022-02-03,0.438
2026-04-01,5Y,2021-12-10,0.4336
2026-04-01,5Y,2021-12-09,0.4252
2026-04-01,5Y,2021-12-13,0.4232
2026-04-01,5Y,2022-05-12,0.4199
2026-04-01,5Y,2022-05-09,0.4174
2026-04-01,5Y,2022-02-08,0.413
2026-04-01,5Y,2021-07-13,0.4128
2026-04-01,5Y,2024-12-31,0.4125
2026-04-01,5Y,2025-01-17,0.4081
2026-04-01,5Y,2022-05-02,0.4073
2026-04-01,5Y,2022-02-10,0.4069
2026-04-01,5Y,2022-07-08,0.4047
2026-04-01,5Y,2023-10-18,0.4045
2026-04-01,5Y,2021-07-08,0.3952
2026-04-01,5Y,2021-12-07,0.3943
2026-04-01,5Y,2024-11-18,0.394
2026-04-01,5Y,2022-10-14,0.393
2026-04-01,5Y,2023-08-29,0.3906
2026-04-01,5Y,2021-07-09,0.3889
2026-04-01,5Y,2021-10-07,0.3844
2026-04-01,5Y,2022-05-18,0.3829
2026-04-01,5Y,2021-10-15,0.3812
2026-04-01,5Y,2021-12-08,0.3804
2026-04-01,5Y,2021-12-16,0.3798
2026-04-01,5Y,2026-03-13,0.379
2026-04-01,5Y,2021-12-14,0.3782
2026-04-01,5Y,2022-05-05,0.3767
2026-04-01,5Y,2021-07-12,0.3761
2026-04-01,5Y,2022-10-10,0.376
2026-04-01,5Y,2021-07-14,0.3731
2026-04-01,5Y,2022-07-01,0.3719
2026-04-01,5Y,2023-10-09,0.3709
2026-04-01,5Y,2021-07-07,0.3689
2026-04-01,5Y,2022-10-17,0.3689
2026-04-01,5Y,2021-05-18,0.3673
2026-04-01,5Y,2022-04-29,0.3668
2026-04-01,5Y,2022-07-06,0.3655
2026-04-01,5Y,2022-05-03,0.3653
2026-04-01,5Y,2021-07-15,0.3653
2026-04-01,5Y,2022-10-07,0.3647
2026-04-01,5Y,2023-08-28,0.3628
2026-04-01,5Y,2022-02-02,0.3623
2026-04-01,5Y,2022-07-07,0.3605
2026-04-01,5Y,2021-12-20,0.3565
2026-04-01,1Y,2026-03-31,0.8214
2026-04-01,1Y,2026-03-27,0.7747
2026-04-01,1Y,2026-03-30,0.7526
2026-04-01,1Y,2026-03-26,0.7335
2026-04-01,1Y,2026-03-25,0.6628
2026-04-01,1Y,2026-03-24,0.6088
2026-04-01,1Y,2026-03-23,0.5965
2026-04-01,1Y,2026-03-20,0.5541
2026-04-01,1Y,2026-03-19,0.5183
2026-04-01,1Y,2026-03-17,0.4874
2026-04-01,1Y,2026-03-18,0.4601
2026-04-01,1Y,2026-03-13,0.379
2026-04-01,1Y,2026-03-12,0.3398
2026-04-01,1Y,2025-04-17,0.3256
2026-04-01,1Y,2026-03-16,0.3227
2026-04-01,1Y,2025-04-21,0.3216
2026-04-01,1Y,2025-11-18,0.2864
2026-04-01,1Y,2025-04-22,0.278
2026-04-01,1Y,2025-11-21,0.2757
2026-04-01,1Y,2025-11-13,0.2716
2026-04-01,1Y,2025-04-08,0.2627
2026-04-01,1Y,2025-11-14,0.2584
2026-04-01,1Y,2025-04-07,0.258
2026-04-01,1Y,2025-04-24,0.2563
2026-04-01,1Y,2025-04-23,0.2433
2026-04-01,1Y,2025-11-20,0.2404
2026-04-01,1Y,2025-04-16,0.2262
2026-04-01,1Y,2026-03-11,0.2235
2026-04-01,1Y,2025-11-17,0.2215
2026-04-01,1Y,2025-11-24,0.2133
2026-04-01,1Y,2025-12-12,0.2039
2026-04-01,1Y,2025-04-25,0.2003
2026-04-01,1Y,2025-12-02,0.2003
