ticker,price,ret_1m,ret_3m,ret_6m,ret_1y,ret_5y,ret_10y,ratio_3m_1m,ratio_6m_3m,ratio_1y_6m,ratio_5y_1y,ratio_10y_5y,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1y,vs_spy_5y,vs_spy_10y,vs_qqq_1y,vs_qqq_5y,vs_qqq_10y,vs_iau_1y,vs_iau_5y,vs_iau_10y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,strong_flag,score_returns,score_ratios,score_spy_days,history_depth,score_depth,score,rank
CCI,86.27,-1.37,1.51,-11.59,-9.34,-51.06,0.14,-1.1,-7.7,0.81,5.47,-0.0,1,True,True,False,False,False,-41.73,-121.86,-239.97,-50.23,-140.61,-477.19,-61.79,-226.52,-283.61,-1.105,XLRE,0.67,0.03,clean,0.985,normal,none,none,17.979843392903977,15.027537372147915,60.97560975609756,6,100.0,50.6,1061
CGGO,37.0,7.9,2.15,10.02,37.96,,,0.27,4.65,3.79,,,2,True,True,True,True,True,5.57,,,-2.93,,,-14.49,,,-1.6453,SPY,0.92,1.42,clean,1.081,normal,none,none,52.944812858266836,41.935483870967744,30.99921321793863,4,66.66666666666666,50.5,1062
EW,78.2,-4.41,-5.79,5.76,14.56,-7.04,126.58,1.31,-0.99,2.53,-0.48,-17.99,1,False,False,False,False,False,-17.82,-77.84,-113.53,-26.32,-96.59,-350.75,-37.89,-182.51,-157.17,-1.1595,XLV,0.39,-1.05,clean,1.046,normal,none,none,19.78194897156345,15.027537372147915,57.74980330448466,6,100.0,50.5,1062
XP,21.24,16.7,23.27,34.35,64.4,-44.8,,1.39,1.48,1.87,-0.7,,1,True,True,True,True,True,32.01,-115.6,,23.51,-134.36,,11.95,-220.27,,-3.2587,VXUS,0.65,1.0,clean,0.86,normal,none,none,73.16885841669475,15.027537372147915,2.832415420928403,5,83.33333333333334,50.5,1062
BEAM,30.3,20.43,-10.06,15.12,107.11,-59.26,,-0.49,-1.5,7.08,-0.55,,1,True,True,True,True,True,74.72,-130.06,,66.22,-148.81,,54.66,-234.73,,-1.6581,XLI,0.37,0.91,clean,1.059,normal,none,none,54.90427484920011,15.027537372147915,30.291109362706532,5,83.33333333333334,50.5,1062
SOXS,21.05,-49.03,-54.63,-78.69,-95.86,-99.88,-100.0,1.11,1.44,1.22,1.04,1.0,0,False,False,False,False,False,-128.25,-170.68,-340.1,-136.75,-189.43,-577.33,-148.31,-275.34,-383.75,6.5037,,,-1.53,stalling,1.822,confirmed,none,none,0.09928440298227867,2.4390243902439024,99.8426435877262,6,100.0,50.5,1062
CGGE,32.9,6.44,0.3,8.37,34.62,,,0.05,27.44,4.14,,,2,True,True,True,True,True,2.23,,,-6.27,,,-17.83,,,-1.4446,SPY,0.93,1.23,clean,0.952,normal,none,none,47.429845266194604,41.935483870967744,39.10306845003934,4,66.66666666666666,50.4,1067
QTOP,33.01,7.31,1.16,7.88,45.48,,,0.16,6.76,5.77,,,2,True,True,True,True,True,13.1,,,4.6,,,-6.97,,,-1.5923,QQQ,0.99,1.02,clean,0.802,normal,none,none,51.38623506050728,41.935483870967744,32.57277734067664,4,66.66666666666666,50.3,1068
KAJMY,39.19,-3.23,-4.79,43.5,116.28,199.16,245.1,1.48,-9.09,2.67,1.71,1.23,1,False,False,False,True,False,83.9,128.36,4.99,75.4,109.61,-232.23,63.83,23.69,-38.65,-2.016,,,-0.76,clean,,normal,none,none,45.34674609418905,15.027537372147915,18.33202202989772,6,100.0,50.3,1068
TDG,1296.58,6.74,-6.46,1.45,-0.12,113.8,491.24,-0.96,-0.23,-0.09,-911.93,4.32,1,True,True,False,False,False,-32.51,43.0,251.13,-41.01,24.24,13.9,-52.57,-61.67,207.48,-1.5408,XLI,0.4,1.08,clean,1.147,normal,none,none,34.453561125473,15.027537372147915,35.01180173092053,6,100.0,50.3,1068
ERO,30.02,14.93,-3.25,40.67,202.32,67.62,,-0.22,-12.5,4.97,0.33,,1,True,True,True,True,True,169.93,-3.19,,161.43,-21.94,,149.87,-107.85,,-2.4438,IAU,0.6,0.42,clean,0.766,normal,none,none,67.5939455247087,15.027537372147915,9.44138473642801,5,83.33333333333334,50.2,1071
NXT,114.92,-3.95,15.99,38.79,204.42,,,-4.05,2.43,5.27,,,2,True,False,True,True,False,172.04,,,163.54,,,151.97,,,-2.1692,QQQ,0.49,-0.85,clean,0.863,normal,none,none,62.60349930688246,41.935483870967744,14.948859166011013,4,66.66666666666666,50.2,1071
TEAM,59.71,-20.61,-59.23,-58.7,-69.85,-72.56,154.3,2.87,0.99,1.19,1.04,-2.13,1,False,False,False,False,False,-102.23,-143.36,-85.8,-110.73,-162.12,-323.03,-122.3,-248.03,-129.45,-0.408,XLF,0.3,-0.94,clean,1.266,normal,none,none,2.3603461841070024,15.027537372147915,81.90401258851298,6,100.0,50.1,1073
CGXU,32.04,10.14,2.63,9.28,41.83,,,0.26,3.53,4.51,,,2,True,True,True,True,True,9.45,,,0.95,,,-10.62,,,-1.8688,VXUS,0.93,1.58,clean,1.096,normal,none,none,57.21591547712712,41.935483870967744,22.97403619197482,4,66.66666666666666,50.1,1073
MSTR,137.41,-1.62,-15.3,-54.92,-49.54,109.4,650.46,9.46,3.59,0.9,-2.21,5.95,3,True,True,False,False,False,-81.93,38.6,410.36,-90.43,19.85,173.13,-101.99,-66.07,366.71,-4.5845,XLK,0.52,0.19,clean,0.938,normal,none,none,16.578622007418232,75.13768686073958,0.3933910306845004,6,100.0,50.1,1073
CHAT,73.46,17.05,18.35,18.45,124.03,,,1.08,1.01,6.72,,,1,True,True,True,True,True,91.65,,,83.15,,,71.58,,,-2.1726,XLK,0.89,1.34,clean,0.893,normal,none,none,79.92019781948973,15.027537372147915,14.870180959874116,4,66.66666666666666,50.0,1076
LTH,27.98,6.39,2.15,10.2,-6.89,,,0.34,4.74,-0.68,,,1,True,True,True,True,True,-39.27,,,-47.77,,,-59.34,,,-0.9791,XLF,0.46,1.04,clean,1.412,normal,none,none,45.151923869469115,15.027537372147915,66.71911880409127,4,66.66666666666666,49.9,1077
CRM,171.31,-11.16,-33.96,-29.12,-32.85,-22.41,129.7,3.04,0.86,1.13,0.68,-5.79,1,False,False,False,False,False,-65.24,-93.21,-110.41,-73.74,-111.96,-347.63,-85.3,-197.88,-154.05,-0.6811,,,-0.89,clean,1.237,normal,none,none,5.278932973661534,15.027537372147915,76.47521636506688,6,100.0,49.9,1077
GXC,96.04,-0.28,-7.72,-2.42,26.04,-26.38,41.84,27.55,0.31,-10.77,-1.01,-1.59,1,True,False,False,False,False,-6.35,-97.18,-198.26,-14.85,-115.94,-435.49,-26.41,-201.85,-241.91,-1.2137,VXUS,0.71,-0.16,clean,1.456,normal,none,none,19.545914353152746,15.027537372147915,54.99606608969315,6,100.0,49.9,1077
ALAI,37.88,12.77,1.45,3.02,70.55,,,0.11,2.09,23.37,,,2,True,True,True,True,True,38.17,,,29.67,,,18.1,,,-2.0259,XLK,0.94,1.22,clean,1.062,normal,none,none,59.4638642238957,41.935483870967744,18.09598741148702,4,66.66666666666666,49.8,1080
