ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
AU,IAU,2.0,93.6,4.0,93.1,,,,,,,5.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Basic Materials
MTSI,XLK,8.0,92.1,127.0,78.9,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
SCCO,IAU,8.0,92.1,75.0,82.7,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Basic Materials
SII,IAU,14.0,90.3,14.0,88.6,,,,,,5.0,,none,3,"['ranker', 'ranker_long', 'secrot']",
CW,XLI,15.0,89.4,140.0,78.3,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
RBC,XLI,24.0,87.0,77.0,82.6,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
EWY,VXUS,38.0,84.1,24.0,87.1,,,,,,4.0,,none,3,"['ranker', 'ranker_long', 'secrot']",
REMX,IAU,43.0,82.8,106.0,80.4,,,,,,4.6,,none,3,"['ranker', 'ranker_long', 'secrot']",
KGC,IAU,53.0,81.6,21.0,87.4,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Basic Materials
GOEX,IAU,61.0,79.9,21.0,87.4,,,,,,3.3,,none,3,"['ranker', 'ranker_long', 'secrot']",
BKR,XLE,64.0,79.6,127.0,78.9,,,,,,,6.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Energy
NVS,XLV,90.0,75.8,48.0,84.7,,,,,,,6.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Healthcare
HALFF,XLC,120.0,73.5,107.0,80.3,,,,,,0.1,,none,3,"['ranker', 'ranker_long', 'secrot']",
SGDM,IAU,125.0,73.1,29.0,86.5,,,,,,3.8,,none,3,"['ranker', 'ranker_long', 'secrot']",
RING,IAU,128.0,73.0,53.0,84.4,,,,,,3.6,,none,3,"['ranker', 'ranker_long', 'secrot']",
LHX,XLI,129.0,72.9,110.0,79.9,,,,,,,8.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
GDX,IAU,139.0,72.1,43.0,85.3,,,,,,3.8,,none,3,"['ranker', 'ranker_long', 'secrot']",
GUNR,IAU,149.0,70.9,121.0,79.2,,,,,,2.7,,none,3,"['ranker', 'ranker_long', 'secrot']",
PHYS,--,,,85.0,82.1,,,,,,3.1,6.0,none,3,"['ranker_long', 'secrot', 'stock_secrot']",Financial Services
