ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
AMD,197.74,-3.46,-0.86,-7.41,-10.78,23.94,104.36,0.25,8.65,1.45,-2.22,-9.69,1,False,False,False,True,False,1.38,-3.65,84.55,1.06,-5.09,77.72,-0.99,-8.4,30.67,-2.7826,XLK,0.68,-0.37,clean,0.852,normal,none,48.53694714131607,26.860841423948216,18.042071197411,0.0,216
ALL,205.03,-0.27,-3.11,1.93,1.98,2.5,1.71,11.43,-0.62,1.03,1.26,0.86,2,False,True,True,True,False,-0.88,5.69,-18.1,-1.2,4.25,-24.93,-3.25,0.94,-71.98,-0.1678,,,-0.47,clean,0.731,thin,none,49.325782092772386,56.02750809061489,86.6504854368932,0.0,216
AMG,270.43,-4.13,-9.61,-10.98,-0.23,16.34,68.79,2.33,1.14,0.02,-70.32,-295.96,0,False,False,False,True,False,-7.37,-7.22,48.97,-7.7,-8.66,42.14,-9.75,-11.98,-4.9,-1.9003,,,-0.95,clean,0.891,normal,none,35.24811218985976,7.686084142394822,36.89320388349515,0.0,216
ALNY,317.23,-1.0,-1.02,-1.78,-23.6,-32.41,32.88,1.02,1.74,13.25,1.37,-1.39,2,False,False,False,False,False,1.21,1.98,13.06,0.89,0.54,6.23,-1.16,-2.77,-40.81,-1.4072,,,-0.08,clean,0.711,thin,none,45.833333333333336,56.02750809061489,56.957928802588995,0.0,216
ALLY,36.84,-0.03,-7.67,-13.09,-12.99,-10.39,10.13,282.61,1.71,0.99,0.8,-0.78,1,False,False,False,False,False,-5.43,-9.33,-9.68,-5.76,-10.77,-16.51,-7.81,-14.09,-63.55,-2.1306,XLF,0.74,-1.17,clean,1.283,normal,none,27.19120819848975,26.860841423948216,31.22977346278317,0.0,216
ALMS,25.03,-4.97,-9.44,-5.87,118.99,482.09,422.55,1.9,0.62,-20.28,4.05,3.55,2,False,True,True,True,False,-7.2,-2.1,402.73,-7.53,-3.54,395.9,-9.58,-6.86,348.86,-3.6676,XLV,0.3,-0.6,clean,0.473,thin,none,58.94012944983819,56.02750809061489,8.414239482200648,0.0,216
ALK,38.65,-6.46,-11.76,-34.65,-21.98,-38.31,-27.95,1.82,2.95,0.63,1.74,1.27,1,False,False,False,False,False,-9.52,-30.88,-47.76,-9.84,-32.32,-54.59,-11.89,-35.64,-101.63,-5.0029,VGK,0.6,-1.81,stalling,1.771,confirmed,none,2.777777777777778,26.860841423948216,1.8608414239482203,0.0,216
ALB,163.89,-2.45,-0.02,-2.77,26.76,123.53,125.53,0.01,113.54,-9.66,4.62,4.69,3,False,False,True,True,False,2.21,0.99,105.71,1.89,-0.45,98.88,-0.16,-3.76,51.84,-1.6435,XLB,0.51,-0.76,clean,0.662,thin,none,74.99325782092772,85.15372168284789,47.73462783171521,0.0,216
ALGN,166.92,-4.51,-4.94,-14.95,4.98,25.56,1.08,1.1,3.03,-0.33,5.13,0.22,2,False,False,True,True,False,-2.7,-11.19,-18.73,-3.03,-12.63,-25.57,-5.08,-15.95,-72.61,-3.4022,XLI,0.54,-1.05,clean,1.429,normal,none,31.12864077669903,56.02750809061489,11.165048543689322,0.0,216
ALHC,17.12,-4.94,-7.81,-17.01,-10.88,4.07,11.02,1.58,2.18,0.64,-0.37,-1.01,0,False,False,False,False,False,-5.57,-13.25,-8.79,-5.9,-14.69,-15.62,-7.94,-18.01,-62.66,-3.3577,XLF,0.37,-1.25,clean,0.968,normal,none,17.340884573894282,7.686084142394822,11.731391585760518,0.0,216
ALGM,31.16,-5.75,-4.94,-25.11,7.6,2.13,22.34,0.86,5.08,-0.3,0.28,2.94,2,False,False,False,False,False,-2.7,-21.35,2.53,-3.03,-22.79,-4.31,-5.08,-26.11,-51.35,-3.6786,XLI,0.55,-0.92,clean,0.649,thin,none,27.730582524271842,56.02750809061489,8.333333333333332,0.0,216
WAL,68.12,-2.13,-15.63,-28.23,-17.79,-23.27,-7.51,7.35,1.81,0.63,1.31,0.42,2,False,False,False,False,False,-13.39,-24.47,-27.32,-13.72,-25.91,-34.15,-15.77,-29.23,-81.2,-4.012,XLF,0.66,-1.65,stalling,2.28,confirmed,none,10.780744336569578,56.02750809061489,5.258899676375404,0.0,216
VUG,455.3,-1.77,-1.94,-3.35,-7.65,-2.55,22.46,1.1,1.73,2.28,0.33,-2.93,1,False,False,False,False,False,0.3,0.41,2.65,-0.03,-1.03,-4.19,-2.08,-4.35,-51.23,-0.9824,QQQ,0.96,-1.03,clean,0.945,normal,none,41.646440129449836,26.860841423948216,71.84466019417476,0.0,216
