target_date,window,similar_date,correlation
2026-03-16,25Y,2026-03-13,0.9262
2026-03-16,25Y,2026-03-12,0.9021
2026-03-16,25Y,2026-03-11,0.8328
2026-03-16,25Y,2026-03-10,0.8217
2026-03-16,25Y,2023-10-03,0.6316
2026-03-16,25Y,2007-08-02,0.6062
2026-03-16,25Y,2004-03-22,0.6024
2026-03-16,25Y,2022-05-03,0.5989
2026-03-16,25Y,2004-03-19,0.5953
2026-03-16,25Y,2026-03-06,0.5937
2026-03-16,25Y,2023-10-04,0.5926
2026-03-16,25Y,2006-06-15,0.5897
2026-03-16,25Y,2018-02-12,0.5893
2026-03-16,25Y,2006-06-16,0.5882
2026-03-16,25Y,2023-09-28,0.5866
2026-03-16,25Y,2004-03-23,0.5858
2026-03-16,25Y,2002-09-30,0.5839
2026-03-16,25Y,2004-05-19,0.58
2026-03-16,25Y,2007-03-08,0.5786
2026-03-16,25Y,2001-03-21,0.5785
2026-03-16,25Y,2006-06-19,0.5779
2026-03-16,25Y,2005-04-01,0.5753
2026-03-16,25Y,2006-06-20,0.5722
2026-03-16,25Y,2007-03-09,0.5693
2026-03-16,25Y,2015-09-02,0.5691
2026-03-16,25Y,2023-09-29,0.5675
2026-03-16,25Y,2007-03-06,0.5672
2026-03-16,25Y,2009-11-04,0.5659
2026-03-16,25Y,2015-09-01,0.5655
2026-03-16,25Y,2022-05-18,0.5642
2026-03-16,25Y,2002-09-27,0.5642
2026-03-16,25Y,2004-05-18,0.5631
2026-03-16,25Y,2004-05-17,0.561
2026-03-16,25Y,2023-10-02,0.5609
2026-03-16,25Y,2004-05-07,0.5597
2026-03-16,25Y,2008-07-03,0.5544
2026-03-16,25Y,2009-03-02,0.5542
2026-03-16,25Y,2022-09-30,0.5541
2026-03-16,25Y,2006-05-25,0.5534
2026-03-16,25Y,2022-04-29,0.5531
2026-03-16,25Y,2001-03-23,0.5521
2026-03-16,25Y,2022-05-02,0.552
2026-03-16,25Y,2004-03-18,0.5514
2026-03-16,25Y,2005-04-04,0.5488
2026-03-16,25Y,2005-03-29,0.5487
2026-03-16,25Y,2005-03-30,0.5468
2026-03-16,25Y,2007-03-07,0.5466
2026-03-16,25Y,2006-05-30,0.5463
2026-03-16,25Y,2018-02-14,0.5449
2026-03-16,25Y,2022-05-05,0.5447
2026-03-16,25Y,2007-08-03,0.5445
2026-03-16,25Y,2001-09-26,0.5436
2026-03-16,25Y,2008-10-14,0.5428
2026-03-16,25Y,2001-09-25,0.5427
2026-03-16,25Y,2010-06-01,0.5424
2026-03-16,25Y,2022-05-04,0.542
2026-03-16,25Y,2001-03-22,0.5404
2026-03-16,25Y,2013-06-27,0.5385
2026-03-16,25Y,2010-01-29,0.5379
2026-03-16,25Y,2018-10-18,0.5374
2026-03-16,25Y,2015-08-28,0.5373
2026-03-16,25Y,2023-08-25,0.5364
2026-03-16,25Y,2010-02-03,0.534
2026-03-16,25Y,2021-12-03,0.5337
2026-03-16,25Y,2023-08-24,0.5335
2026-03-16,25Y,2006-05-24,0.5329
2026-03-16,25Y,2020-03-24,0.5315
2026-03-16,25Y,2023-10-30,0.5309
2026-03-16,25Y,2016-01-21,0.5291
2026-03-16,25Y,2010-05-27,0.5279
2026-03-16,25Y,2004-05-06,0.5273
2026-03-16,25Y,2005-03-31,0.5263
2026-03-16,25Y,2011-11-28,0.5253
2026-03-16,25Y,2001-09-24,0.5248
2026-03-16,25Y,2021-10-07,0.5247
2026-03-16,25Y,2020-03-23,0.5243
2026-03-16,25Y,2018-02-13,0.5242
2026-03-16,25Y,2004-05-20,0.5236
2026-03-16,25Y,2026-03-09,0.5227
2026-03-16,25Y,2015-08-31,0.522
2026-03-16,25Y,2009-11-06,0.5213
2026-03-16,25Y,2016-01-19,0.5211
2026-03-16,25Y,2011-09-30,0.5207
2026-03-16,25Y,2022-01-28,0.5207
2026-03-16,25Y,2024-04-22,0.5202
2026-03-16,25Y,2021-10-11,0.5202
2026-03-16,25Y,2009-11-05,0.5197
2026-03-16,25Y,2018-10-22,0.5196
2026-03-16,25Y,2007-08-01,0.5196
2026-03-16,25Y,2008-07-01,0.5186
2026-03-16,25Y,2022-06-21,0.5179
2026-03-16,25Y,2020-03-05,0.5172
2026-03-16,25Y,2002-09-25,0.5169
2026-03-16,25Y,2010-05-26,0.5169
2026-03-16,25Y,2021-09-28,0.5168
2026-03-16,25Y,2021-03-31,0.5166
2026-03-16,25Y,2002-06-14,0.5165
2026-03-16,25Y,2011-11-29,0.5156
2026-03-16,25Y,2013-07-02,0.5149
2026-03-16,25Y,2010-02-02,0.5147
2026-03-16,5Y,2026-03-13,0.9262
2026-03-16,5Y,2026-03-12,0.9021
2026-03-16,5Y,2026-03-11,0.8328
2026-03-16,5Y,2026-03-10,0.8217
2026-03-16,5Y,2023-10-03,0.6316
2026-03-16,5Y,2022-05-03,0.5989
2026-03-16,5Y,2026-03-06,0.5937
2026-03-16,5Y,2023-10-04,0.5926
2026-03-16,5Y,2023-09-28,0.5866
2026-03-16,5Y,2023-09-29,0.5675
2026-03-16,5Y,2022-05-18,0.5642
2026-03-16,5Y,2023-10-02,0.5609
2026-03-16,5Y,2022-09-30,0.5541
2026-03-16,5Y,2022-04-29,0.5531
2026-03-16,5Y,2022-05-02,0.552
2026-03-16,5Y,2022-05-05,0.5447
2026-03-16,5Y,2022-05-04,0.542
2026-03-16,5Y,2023-08-25,0.5364
2026-03-16,5Y,2021-12-03,0.5337
2026-03-16,5Y,2023-08-24,0.5335
2026-03-16,5Y,2023-10-30,0.5309
2026-03-16,5Y,2021-10-07,0.5247
2026-03-16,5Y,2026-03-09,0.5227
2026-03-16,5Y,2022-01-28,0.5207
2026-03-16,5Y,2024-04-22,0.5202
2026-03-16,5Y,2021-10-11,0.5202
2026-03-16,5Y,2022-06-21,0.5179
2026-03-16,5Y,2021-09-28,0.5168
2026-03-16,5Y,2021-03-31,0.5166
2026-03-16,5Y,2022-09-26,0.5146
2026-03-16,5Y,2022-06-22,0.5119
2026-03-16,5Y,2022-03-03,0.5116
2026-03-16,5Y,2022-09-23,0.5098
2026-03-16,5Y,2023-08-22,0.5057
2026-03-16,5Y,2021-09-29,0.5057
2026-03-16,5Y,2022-03-14,0.5048
2026-03-16,5Y,2022-01-31,0.5038
2026-03-16,5Y,2022-09-28,0.5018
2026-03-16,5Y,2023-10-09,0.5007
2026-03-16,5Y,2022-05-06,0.5006
2026-03-16,5Y,2024-04-25,0.4983
2026-03-16,5Y,2024-12-30,0.4981
2026-03-16,5Y,2021-06-29,0.497
2026-03-16,5Y,2023-10-27,0.4948
2026-03-16,5Y,2024-10-30,0.4926
2026-03-16,5Y,2022-10-03,0.4881
2026-03-16,5Y,2021-03-30,0.4846
2026-03-16,5Y,2024-04-19,0.4844
