ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,health_score,health_verdict,spread_support,source_count,sources,sector
EC,XLE,41.0,81.0,79.0,82.0,,,,,,,7.0,,,82.3,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Energy
STT,XLF,59.0,78.5,65.0,82.9,,,,,,3.2,1.0,,,84.9,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",Financial Services
BK,XLF,102.0,74.9,53.0,83.7,,,,,,3.3,2.0,,,84.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",Financial Services
KLAC,QQQ,129.0,71.4,33.0,85.3,,,,,,,5.0,,,80.0,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
VTV,XLI,142.0,69.9,83.0,81.5,,,,,,3.4,,,,80.8,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
LQDA,XLV,1.0,95.2,55.0,83.5,,,,,,,,,,88.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
EACO,--,2.0,94.9,1.0,94.6,,,,,,,,,,89.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
RSI,--,3.0,93.3,94.0,80.8,,,,,,,,,,90.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
AXSM,XLV,4.0,93.1,4.0,93.8,,,,,,,,,,85.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
CASY,XLP,6.0,91.6,3.0,94.3,,,,,,,5.0,,,60.0,CAUTION,bearish,3,"['ranker', 'ranker_long', 'stock_secrot']",Consumer Cyclical
DK,XLE,10.0,88.4,8.0,91.3,,,,,,,,,,85.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
GL,XLF,11.0,87.6,53.0,83.7,,,,,,,0.0,,,88.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Financial Services
SNDK,XLK,13.0,87.3,,,,,,,,,6.0,,,83.3,HEALTHY,bullish,3,"['ranker', 'stock_secrot', 'pullback_health']",Technology
SCHL,--,16.0,86.3,17.0,88.3,,,,,,,,,,88.2,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
VLO,XLE,16.0,86.3,5.0,92.5,,,,,,,4.0,,,86.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
SMFG,VGK,20.0,85.9,38.0,84.8,,,,,,,5.0,,,76.1,CAUTION,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Financial Services
MPC,XLE,21.0,85.8,5.0,92.5,,,,,,,1.0,,,82.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
MSGS,VXUS,22.0,85.7,91.0,80.9,,,,,,,,,,89.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TJX,XLF,25.0,85.0,57.0,83.3,,,,,,,1.0,,,82.1,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",Consumer Cyclical
