ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,potential_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
APA,40.15,38.19,5.14,OPTIMAL,90,1.5,1.11,37.86,6.05,,,,0.0,-1.3,94.1,5.0,clean,49.3,CAUTION,-12.1,3,Parabolic,9.4,12.34,46.85,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -3.78, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 44.2}",79.2
EQNR,39.66,38.2,3.82,OPTIMAL,95,1.48,0.9,38.31,3.52,,,,0.065,38.6,90.7,13.0,clean,41.2,CAUTION,-8.7,3,Parabolic,3.77,11.81,45.17,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.2, 'median_ttg': 2.0, 'prob_good': 28.6, 'prob_bad': 48.7}",77.4
OXY,59.7,57.25,4.28,OPTIMAL,95,1.48,0.9,56.51,5.65,,,,0.0,-0.8,84.9,39.0,clean,48.1,CAUTION,-11.5,3,Parabolic,8.27,10.99,29.95,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.2, 'median_ttg': 2.0, 'prob_good': 28.6, 'prob_bad': 48.7}",77.4
TBN,36.79,35.96,2.3,OPTIMAL,95,1.48,0.9,36.05,2.07,,,,0.25,28.0,85.4,35.0,clean,45.8,CAUTION,-29.5,3,Parabolic,3.14,2.88,27.52,XLE,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.23, 'median_ttg': 1.0, 'prob_good': 37.2, 'prob_bad': 40.0}",76.9
MTDR,60.81,59.11,2.88,OPTIMAL,95,1.48,0.9,57.97,4.9,,,,0.052,-41.0,83.4,51.0,clean,45.5,CAUTION,-9.0,3,Parabolic,7.95,9.37,28.32,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",76.1
PR,20.92,20.64,1.34,OPTIMAL,95,1.48,0.9,20.59,1.58,,,,0.0,3.4,87.6,22.0,clean,40.4,CAUTION,-7.8,3,Parabolic,3.82,7.72,23.13,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",76.0
MGY,29.89,29.05,2.91,OPTIMAL,95,1.48,0.9,28.83,3.67,,,,0.0,-1.7,83.4,51.0,clean,44.1,CAUTION,-8.8,3,Parabolic,5.96,8.22,14.92,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",75.7
COP,124.54,120.37,3.46,OPTIMAL,95,1.48,0.9,118.42,5.17,,,,0.033,-23.7,83.8,47.0,clean,42.6,CAUTION,-8.3,3,Parabolic,7.78,7.33,14.49,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.2, 'median_ttg': 2.0, 'prob_good': 28.6, 'prob_bad': 48.7}",75.4
OVV,60.03,57.74,3.97,OPTIMAL,95,1.48,0.9,59.24,1.33,,,,0.248,88.1,89.5,16.0,clean,35.2,CAUTION,-5.4,3,Parabolic,1.59,13.67,30.27,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",75.1
MUR,40.44,38.84,4.13,OPTIMAL,95,1.48,0.9,38.76,4.32,,,,0.007,13.3,85.0,37.0,clean,40.0,CAUTION,-6.7,3,Parabolic,7.5,9.68,26.61,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",75.0
EXCE,23.2,22.15,4.75,OPTIMAL,95,1.48,0.9,23.11,0.37,,,,0.361,100.6,90.4,14.0,clean,33.3,CAUTION,-5.9,2,Sustained Uptrend,0.87,5.94,18.97,,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",74.9
XOP,176.21,169.86,3.74,OPTIMAL,95,1.48,0.9,170.74,3.2,,,,0.061,31.9,84.4,43.0,clean,40.0,CAUTION,-7.4,3,Parabolic,4.48,10.35,21.19,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.2, 'median_ttg': 2.0, 'prob_good': 28.6, 'prob_bad': 48.7}",74.8
CF,125.22,122.04,2.6,OPTIMAL,95,1.48,0.9,123.13,1.7,,,,0.094,38.4,82.7,59.0,clean,40.9,CAUTION,-11.8,3,Parabolic,0.59,11.13,33.51,XLE,sector,Sector,34.0,False,False,"{'grade': 'OK', 'median_mae': -3.14, 'median_ttg': 1.0, 'prob_good': 37.3, 'prob_bad': 38.8}",74.5
INSW,85.28,81.27,4.94,OPTIMAL,95,1.48,0.9,87.45,-2.48,,,,0.645,183.6,83.2,53.0,clean,40.0,CAUTION,-8.0,3,Parabolic,-4.94,11.52,32.38,LQD,commodity,Commodity,45.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.2, 'median_ttg': 2.0, 'prob_good': 28.6, 'prob_bad': 48.7}",74.4
UNF,265.78,257.83,3.08,OPTIMAL,95,1.48,0.9,256.6,3.58,,,,0.026,-10.4,81.3,74.0,clean,42.3,CAUTION,-6.3,3,Parabolic,5.32,1.01,11.55,,index,Index,3.0,False,False,"{'grade': 'OK', 'median_mae': -2.65, 'median_ttg': 2.0, 'prob_good': 40.1, 'prob_bad': 36.0}",74.4
SU,69.73,65.19,6.97,OPTIMAL,90,1.5,1.11,66.43,4.97,,,,0.343,83.8,87.8,21.0,clean,40.0,CAUTION,-0.8,3,Parabolic,7.08,14.01,26.57,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -3.78, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 44.2}",74.2
PKX,78.63,74.63,5.35,OPTIMAL,90,1.5,1.11,84.85,-7.33,,,,0.58,294.4,78.3,95.0,clean,50.7,WARNING,-14.9,3,Parabolic,-11.26,18.03,21.31,VXUS,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -3.78, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 44.2}",74.1
LBTYB,15.51,15.46,0.33,OPTIMAL,95,1.48,0.9,15.44,0.43,,,,0.144,-91.8,82.0,66.0,clean,40.0,CAUTION,-13.8,3,Parabolic,5.01,5.15,16.01,,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",74.0
STRO,34.48,34.45,0.1,OPTIMAL,95,1.48,0.9,38.68,-10.85,,,,0.501,186.5,81.9,68.0,stalling,40.0,CAUTION,-21.4,3,Parabolic,-12.29,9.29,107.21,,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",73.9
REPX,37.71,35.85,5.18,OPTIMAL,90,1.5,1.11,35.6,5.93,,,,0.133,52.1,85.6,34.0,clean,40.7,CAUTION,-8.6,3,Parabolic,8.49,12.67,38.23,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -3.78, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 44.2}",73.7
PARXF,20.16,19.79,1.87,OPTIMAL,95,1.48,0.9,20.35,-0.95,,,,0.06,33.6,80.9,76.0,clean,40.0,CAUTION,-8.9,3,Parabolic,-2.37,12.56,34.94,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.2, 'median_ttg': 2.0, 'prob_good': 28.6, 'prob_bad': 48.7}",73.6
LYB,74.13,72.97,1.59,OPTIMAL,95,1.48,0.9,73.85,0.37,,,,0.337,70.3,77.2,109.0,clean,44.1,CAUTION,-11.7,3,Parabolic,0.82,11.86,32.42,XLE,sector,Sector,34.0,False,False,"{'grade': 'OK', 'median_mae': -3.14, 'median_ttg': 1.0, 'prob_good': 37.3, 'prob_bad': 38.8}",73.5
STNG,81.87,79.61,2.83,OPTIMAL,95,1.48,0.9,83.58,-2.04,,,,0.563,120.4,79.9,82.0,clean,40.0,CAUTION,-6.3,3,Parabolic,-3.85,8.86,16.92,,index,Index,13.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.43, 'median_ttg': 1.0, 'prob_good': 44.0, 'prob_bad': 33.8}",73.2
XOM,160.49,150.43,6.68,OPTIMAL,90,1.5,1.11,150.97,6.31,,,,0.203,48.4,84.2,44.0,clean,40.2,CAUTION,-9.0,2,Sustained Uptrend,7.22,9.59,9.78,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.54, 'median_ttg': 2.0, 'prob_good': 28.8, 'prob_bad': 49.4}",73.0
CELC,132.18,125.98,4.92,OPTIMAL,95,1.48,0.9,132.23,-0.04,,,,0.305,142.9,78.9,88.0,clean,40.0,CAUTION,-12.5,2,Sustained Uptrend,5.21,7.94,23.16,,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",72.9
CME,305.12,290.87,4.9,OPTIMAL,95,1.48,0.9,291.04,4.84,,,,0.386,53.1,76.2,120.0,clean,42.6,CAUTION,-7.3,1,Basing,7.98,6.07,0.62,XLE,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -2.92, 'median_ttg': 2.0, 'prob_good': 38.1, 'prob_bad': 37.4}",72.7
MEOH,62.09,60.96,1.85,OPTIMAL,95,1.48,0.9,62.88,-1.25,,,,0.343,98.4,77.5,106.0,clean,40.0,CAUTION,-7.0,3,Parabolic,-1.99,14.71,29.87,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",72.4
DVN,49.68,47.67,4.22,OPTIMAL,95,1.48,0.9,47.53,4.52,,,,0.005,13.1,84.7,40.0,clean,31.5,CAUTION,-5.8,3,Parabolic,6.31,12.32,12.81,XLE,index,Index,10.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.43, 'median_ttg': 1.0, 'prob_good': 44.0, 'prob_bad': 33.8}",72.3
ANAB,58.74,57.95,1.36,OPTIMAL,95,1.48,0.9,65.32,-10.07,,,,0.3,230.5,77.0,112.0,clean,40.0,CAUTION,-18.8,3,Parabolic,-13.52,30.53,64.08,QQQ,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.23, 'median_ttg': 1.0, 'prob_good': 37.2, 'prob_bad': 40.0}",72.2
CVX,196.12,187.93,4.36,OPTIMAL,95,1.48,0.9,187.25,4.74,,,,0.04,17.1,75.1,131.0,clean,41.4,CAUTION,-8.7,2,Sustained Uptrend,6.16,6.59,8.62,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.2, 'median_ttg': 2.0, 'prob_good': 28.6, 'prob_bad': 48.7}",72.0
GPRE,16.95,16.51,2.68,OPTIMAL,95,1.48,0.9,17.14,-1.09,,,,0.209,78.5,74.2,141.0,clean,41.8,CAUTION,-10.5,3,Parabolic,-1.17,14.37,28.6,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.2, 'median_ttg': 2.0, 'prob_good': 28.6, 'prob_bad': 48.7}",71.8
SCHL,40.44,39.7,1.86,OPTIMAL,95,1.48,0.9,39.67,1.95,,,,0.004,-5.2,84.6,41.0,clean,29.7,CAUTION,-6.8,2,Sustained Uptrend,0.95,1.68,19.33,,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",71.8
BNO,57.65,52.99,8.79,OPTIMAL,90,1.5,1.11,55.78,3.35,,,,0.365,147.5,88.4,19.0,clean,30.8,CAUTION,-5.2,3,Parabolic,4.78,26.79,81.4,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.54, 'median_ttg': 2.0, 'prob_good': 28.8, 'prob_bad': 49.4}",71.7
DAR,62.13,61.76,0.59,OPTIMAL,95,1.48,0.9,63.02,-1.41,,,,0.369,64.1,83.1,54.0,clean,30.4,CAUTION,-5.9,3,Parabolic,-2.65,7.21,21.9,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",71.5
REX,50.27,47.01,6.93,OPTIMAL,90,1.5,1.11,49.45,1.66,,,,0.618,134.0,92.7,7.0,clean,24.8,CAUTION,-5.8,3,Parabolic,1.76,16.77,51.87,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.54, 'median_ttg': 2.0, 'prob_good': 28.8, 'prob_bad': 49.4}",71.4
EZPW,33.37,31.64,5.47,OPTIMAL,90,1.5,1.11,33.36,0.02,,,,0.68,110.6,83.8,47.0,clean,33.8,CAUTION,-10.1,3,Parabolic,-3.69,9.27,34.67,XLI,equity,Equity,2.0,False,False,"{'grade': 'OK', 'median_mae': -3.2, 'median_ttg': 2.0, 'prob_good': 37.0, 'prob_bad': 37.9}",71.0
MCHP,92.76,87.52,5.98,OPTIMAL,90,1.5,1.11,97.92,-5.27,,,,0.585,227.9,78.0,102.0,clean,40.8,CAUTION,-12.4,2,Sustained Uptrend,-6.33,17.78,17.51,XLI,equity,Equity,16.0,False,False,"{'grade': 'ROUGH', 'median_mae': -6.55, 'median_ttg': 2.0, 'prob_good': 24.7, 'prob_bad': 57.5}",71.0
CNQ,48.95,46.05,6.3,OPTIMAL,90,1.5,1.11,46.66,4.92,,,,0.409,88.3,86.3,31.0,clean,30.3,CAUTION,-4.7,3,Parabolic,8.32,13.84,20.6,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -3.78, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 44.2}",70.8
INDV,36.54,35.27,3.61,OPTIMAL,95,1.48,0.9,38.59,-5.31,,,,0.58,232.6,70.6,171.0,clean,42.8,CAUTION,-10.9,2,Sustained Uptrend,-5.92,11.74,5.15,SPY,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",70.8
AXGN,41.95,39.14,7.17,OPTIMAL,90,1.5,1.11,41.86,0.22,,,,0.345,140.5,92.8,6.0,clean,22.0,CAUTION,-8.5,2,Sustained Uptrend,2.84,8.96,21.1,XLV,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.77, 'median_ttg': 2.0, 'prob_good': 32.1, 'prob_bad': 44.8}",70.6
E,56.39,54.92,2.67,OPTIMAL,95,1.48,0.9,55.04,2.44,,,,0.218,44.7,86.8,29.0,clean,23.3,CAUTION,-2.8,3,Parabolic,1.68,7.92,30.47,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",70.6
FANG,205.62,194.25,5.85,OPTIMAL,90,1.5,1.11,197.77,3.97,,,,0.164,62.1,84.6,41.0,clean,30.0,CAUTION,-4.1,3,Parabolic,4.83,14.06,21.96,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.54, 'median_ttg': 2.0, 'prob_good': 28.8, 'prob_bad': 49.4}",70.1
HWM,256.99,253.38,1.43,OPTIMAL,95,1.48,0.9,264.8,-2.95,,,,0.462,147.6,78.2,97.0,clean,30.9,CAUTION,-8.5,2,Sustained Uptrend,-6.06,0.51,1.76,XLI,equity,Equity,11.0,False,False,"{'grade': 'OK', 'median_mae': -3.54, 'median_ttg': 2.0, 'prob_good': 35.6, 'prob_bad': 44.4}",69.9
MUSA,565.34,540.82,4.53,OPTIMAL,95,1.48,0.9,578.04,-2.2,,,,0.515,178.5,70.0,174.0,clean,40.0,CAUTION,-7.3,3,Parabolic,-2.18,15.11,47.02,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",69.8
SEI,72.13,70.41,2.45,OPTIMAL,95,1.48,0.9,75.62,-4.62,,,,0.643,179.6,81.4,72.0,clean,26.9,CAUTION,-11.2,3,Parabolic,-3.39,9.92,37.29,QQQ,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.2, 'median_ttg': 2.0, 'prob_good': 28.6, 'prob_bad': 48.7}",69.8
SENEM,140.0,137.07,2.14,OPTIMAL,95,1.48,0.9,140.0,0.0,,,,0.0,-0.0,66.0,233.0,clean,45.0,CAUTION,-12.5,2,Sustained Uptrend,0.0,-12.5,12.0,,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",69.8
