ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
SII,IAU,25.0,84.2,9.0,89.6,,,,,,4.3,,none,3,"['ranker', 'ranker_long', 'secrot']",
LHX,XLI,31.0,82.7,69.0,81.5,,,,,,,8.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
RBC,XLI,50.0,79.9,22.0,87.2,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
PPA,XLI,50.0,79.9,118.0,79.1,,,,,,3.5,,none,3,"['ranker', 'ranker_long', 'secrot']",
ITA,XLI,54.0,79.7,112.0,79.4,,,,,,3.5,,none,3,"['ranker', 'ranker_long', 'secrot']",
CW,XLI,56.0,79.1,122.0,78.6,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
MTSI,XLK,81.0,75.5,142.0,77.6,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
EIS,XLK,107.0,71.8,83.0,80.5,,,,,,3.4,,bullish,3,"['ranker', 'ranker_long', 'secrot']",
PBR,XLE,126.0,69.5,67.0,81.6,,,,,,,7.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Energy
GCOW,XLB,126.0,69.5,147.0,77.4,,,,,,3.7,,bearish,3,"['ranker', 'ranker_long', 'secrot']",
NVS,XLV,141.0,68.4,39.0,84.1,,,,,,,6.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Healthcare
PHYS,--,,,15.0,88.3,,,,,,3.6,6.0,none,3,"['ranker_long', 'secrot', 'stock_secrot']",Financial Services
SLGL,--,1.0,99.0,26.0,86.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
LINC,--,2.0,96.4,6.0,90.0,,,,,,,,none,2,"['ranker', 'ranker_long']",
STNG,--,3.0,95.0,51.0,83.2,,,,,,,,none,2,"['ranker', 'ranker_long']",
ISSC,QQQ,5.0,92.7,21.0,87.5,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
NYT,XLC,6.0,92.3,58.0,82.3,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Communication Services
JNJ,XLV,8.0,89.0,37.0,84.5,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Healthcare
